startDateTime,endDateTime,inSWMean,inSWMinimum,inSWMaximum,inSWVariance,inSWNumPts,inSWExpUncert,inSWStdErMean,inSWFinalQF,outSWMean,outSWMinimum,outSWMaximum,outSWVariance,outSWNumPts,outSWExpUncert,outSWStdErMean,outSWFinalQF,inLWMean,inLWMinimum,inLWMaximum,inLWVariance,inLWNumPts,inLWExpUncert,inLWStdErMean,inLWFinalQF,outLWMean,outLWMinimum,outLWMaximum,outLWVariance,outLWNumPts,outLWExpUncert,outLWStdErMean,outLWFinalQF
"2025-06-01T00:00:00Z","2025-06-01T00:30:00Z",3.72,-0.04,7.82,5.42,1800,0.32,0.05,0,4.03,2.01,6.50,1.33,1800,0.35,0.03,0,351.0,349.2,353.5,0.9,1800,3.6,0.0,0,366.6,365.0,368.3,0.4,1800,3.7,0.0,0
"2025-06-01T00:30:00Z","2025-06-01T01:00:00Z",-2.73,-3.54,0.02,0.52,1800,0.23,0.02,0,2.66,1.54,3.76,0.17,1800,0.32,0.01,0,353.6,350.9,355.4,0.8,1800,3.6,0.0,0,365.4,364.3,366.9,0.3,1800,3.7,0.0,0
"2025-06-01T01:00:00Z","2025-06-01T01:30:00Z",-1.99,-3.04,-0.78,0.33,1800,0.22,0.01,0,2.02,0.60,3.57,0.32,1800,0.32,0.01,0,350.5,344.9,354.7,8.2,1800,3.6,0.1,0,364.6,363.2,365.7,0.2,1800,3.7,0.0,0
"2025-06-01T01:30:00Z","2025-06-01T02:00:00Z",-0.68,-1.38,0.32,0.13,1800,0.21,0.01,0,1.13,0.54,1.86,0.06,1800,0.31,0.01,0,345.5,343.2,347.8,1.1,1800,3.6,0.0,0,364.4,363.1,366.4,0.4,1800,3.7,0.0,0
"2025-06-01T02:00:00Z","2025-06-01T02:30:00Z",-0.34,-1.43,0.71,0.15,1800,0.21,0.01,0,0.95,0.08,2.01,0.11,1800,0.31,0.01,0,344.8,342.6,346.9,1.4,1800,3.6,0.0,0,364.1,361.8,365.7,0.5,1800,3.7,0.0,0
"2025-06-01T02:30:00Z","2025-06-01T03:00:00Z",-0.74,-1.34,-0.09,0.07,1800,0.21,0.01,0,0.51,-0.10,1.15,0.07,1800,0.31,0.01,0,341.8,339.4,343.6,0.9,1800,3.6,0.0,0,363.7,361.7,364.9,0.4,1800,3.7,0.0,0
"2025-06-01T03:00:00Z","2025-06-01T03:30:00Z",-1.15,-1.85,-0.52,0.07,1800,0.21,0.01,0,0.44,-0.23,1.03,0.04,1800,0.31,0.00,0,337.9,335.9,340.7,0.8,1800,3.6,0.0,0,363.4,362.0,364.4,0.2,1800,3.7,0.0,0
"2025-06-01T03:30:00Z","2025-06-01T04:00:00Z",-1.18,-1.72,-0.30,0.05,1800,0.21,0.01,0,0.34,-0.17,1.31,0.07,1800,0.31,0.01,0,339.4,337.7,341.9,1.0,1800,3.6,0.0,0,362.5,361.0,364.5,0.5,1800,3.7,0.0,0
"2025-06-01T04:00:00Z","2025-06-01T04:30:00Z",-1.50,-2.48,-0.23,0.22,1800,0.21,0.01,0,0.48,-0.29,1.66,0.15,1800,0.31,0.01,0,339.8,336.2,343.0,3.2,1800,3.6,0.0,0,363.0,361.5,365.1,0.4,1800,3.7,0.0,0
"2025-06-01T04:30:00Z","2025-06-01T05:00:00Z",-1.45,-2.39,-0.55,0.12,1800,0.21,0.01,0,0.35,-0.49,1.13,0.07,1800,0.31,0.01,0,338.3,334.6,341.2,2.5,1800,3.6,0.0,0,363.1,361.6,364.8,0.5,1800,3.7,0.0,0
"2025-06-01T05:00:00Z","2025-06-01T05:30:00Z",-1.30,-1.91,-0.68,0.05,1800,0.21,0.01,0,0.37,-0.42,0.92,0.04,1800,0.31,0.00,0,335.1,333.2,337.5,1.1,1800,3.6,0.0,0,362.0,360.9,363.0,0.2,1800,3.7,0.0,0
"2025-06-01T05:30:00Z","2025-06-01T06:00:00Z",-1.19,-1.80,-0.55,0.06,1800,0.21,0.01,0,0.25,-0.10,0.90,0.04,1800,0.31,0.00,0,339.2,335.1,343.5,4.2,1800,3.6,0.0,0,362.2,361.0,363.3,0.3,1800,3.7,0.0,0
"2025-06-01T06:00:00Z","2025-06-01T06:30:00Z",-1.11,-1.84,-0.53,0.06,1800,0.21,0.01,0,0.25,-0.30,0.93,0.04,1800,0.31,0.00,0,339.4,336.4,341.7,1.4,1800,3.6,0.0,0,361.5,360.4,362.7,0.3,1800,3.7,0.0,0
"2025-06-01T06:30:00Z","2025-06-01T07:00:00Z",-1.54,-2.03,-1.03,0.03,1800,0.21,0.00,0,0.21,-0.15,0.69,0.03,1800,0.31,0.00,0,332.0,328.0,339.6,9.2,1800,3.6,0.1,0,361.0,359.8,362.1,0.2,1800,3.7,0.0,0
"2025-06-01T07:00:00Z","2025-06-01T07:30:00Z",-1.48,-2.03,-0.62,0.10,1800,0.21,0.01,0,0.15,-0.21,0.81,0.04,1800,0.31,0.00,0,332.0,329.6,335.7,2.0,1800,3.6,0.0,0,358.8,357.4,360.4,0.5,1800,3.7,0.0,0
"2025-06-01T07:30:00Z","2025-06-01T08:00:00Z",-1.41,-1.81,-1.02,0.03,1800,0.21,0.00,0,0.29,-0.00,0.67,0.01,1800,0.31,0.00,0,331.3,325.2,335.7,6.4,1800,3.6,0.1,0,357.6,356.6,358.7,0.2,1800,3.7,0.0,0
"2025-06-01T08:00:00Z","2025-06-01T08:30:00Z",-1.08,-1.52,-0.33,0.06,1270,0.21,0.01,1,0.37,-0.15,1.07,0.07,1720,0.31,0.01,0,331.6,329.1,334.5,1.3,1570,3.6,0.0,1,358.1,356.9,359.9,0.8,1230,3.7,0.0,1
"2025-06-01T08:30:00Z","2025-06-01T09:00:00Z",-1.24,-1.87,-0.73,0.06,1424,0.21,0.01,1,0.42,0.05,0.74,0.02,975,0.31,0.00,1,329.5,328.4,330.6,0.4,1124,3.6,0.0,1,356.4,354.5,357.9,0.4,1424,3.7,0.0,1
"2025-06-01T09:00:00Z","2025-06-01T09:30:00Z",0.36,-1.08,2.67,1.04,1800,0.22,0.02,0,0.53,0.02,1.12,0.04,1800,0.31,0.00,0,333.6,330.1,336.7,4.9,1800,3.6,0.1,0,356.9,355.7,358.4,0.3,1800,3.7,0.0,0
"2025-06-01T09:30:00Z","2025-06-01T10:00:00Z",5.19,2.23,7.21,1.31,1800,0.29,0.03,0,1.07,0.41,1.56,0.04,1800,0.31,0.00,0,338.8,336.3,340.5,2.0,1800,3.6,0.0,0,357.2,356.2,358.5,0.2,1800,3.7,0.0,0
"2025-06-01T10:00:00Z","2025-06-01T10:30:00Z",14.42,7.19,22.17,22.13,1800,0.69,0.11,0,2.50,1.09,3.83,0.63,1800,0.32,0.02,0,339.5,338.6,340.5,0.3,1800,3.6,0.0,0,357.0,355.2,358.1,0.4,1800,3.7,0.0,0
"2025-06-01T10:30:00Z","2025-06-01T11:00:00Z",46.08,18.74,57.90,122.57,1800,1.70,0.26,0,7.24,3.08,9.03,2.86,1800,0.37,0.04,0,335.9,333.8,338.8,1.7,1800,3.6,0.0,0,357.5,356.7,357.9,0.1,1800,3.7,0.0,0
"2025-06-01T11:00:00Z","2025-06-01T11:30:00Z",68.49,51.91,81.33,90.01,1800,2.30,0.22,0,11.01,8.15,13.15,2.57,1800,0.42,0.04,0,336.8,336.2,337.8,0.2,1800,3.6,0.0,0,357.3,356.6,357.8,0.0,1800,3.7,0.0,0
"2025-06-01T11:30:00Z","2025-06-01T12:00:00Z",100.47,65.05,138.51,555.17,1800,3.98,0.56,0,15.46,10.47,20.71,10.92,1800,0.55,0.08,0,335.0,330.4,337.8,4.4,1800,3.6,0.0,0,357.0,356.4,357.8,0.1,1800,3.7,0.0,0
"2025-06-01T12:00:00Z","2025-06-01T12:30:00Z",167.64,124.12,227.41,1171.15,1800,6.48,0.81,0,25.60,18.86,34.72,27.91,1800,0.82,0.12,0,330.4,327.0,334.2,4.0,1800,3.6,0.0,0,358.4,357.2,360.3,0.7,1800,3.7,0.0,0
"2025-06-01T12:30:00Z","2025-06-01T13:00:00Z",372.09,214.67,654.52,16028.67,1800,19.00,2.98,0,56.55,32.64,100.59,375.22,1800,2.27,0.46,0,318.6,307.0,327.2,39.0,1800,3.7,0.1,0,363.4,359.8,369.3,6.5,1800,3.7,0.1,0
"2025-06-01T13:00:00Z","2025-06-01T13:30:00Z",669.65,358.89,810.40,9514.09,1800,22.80,2.30,0,100.22,51.10,123.28,258.29,1800,2.64,0.38,0,307.9,302.3,314.9,9.9,1800,3.6,0.1,0,371.5,366.1,375.8,4.6,1800,3.7,0.1,0
"2025-06-01T13:30:00Z","2025-06-01T14:00:00Z",565.78,346.95,928.53,22728.67,1800,26.55,3.55,0,82.77,46.56,139.47,584.97,1800,3.08,0.57,0,308.4,297.4,319.4,38.9,1800,3.7,0.1,0,371.1,367.9,376.1,3.0,1800,3.7,0.0,0
"2025-06-01T14:00:00Z","2025-06-01T14:30:00Z",521.65,289.51,1090.96,51376.41,1800,31.90,5.34,0,74.85,36.81,163.19,1286.64,1800,3.74,0.85,0,307.2,289.6,326.2,118.7,1800,3.7,0.3,0,371.5,367.2,381.0,9.3,1800,3.7,0.1,0
"2025-06-01T14:30:00Z","2025-06-01T15:00:00Z",820.25,305.61,1238.36,92847.39,1800,37.02,7.18,0,119.48,40.89,184.41,2213.36,1800,4.37,1.11,0,309.1,294.4,322.5,52.3,1800,3.7,0.2,0,379.2,367.9,387.5,21.1,1800,3.7,0.1,0
"2025-06-01T15:00:00Z","2025-06-01T15:30:00Z",987.45,335.79,1252.89,50335.47,1800,36.10,5.29,0,142.72,43.06,186.54,1200.57,1800,4.15,0.82,0,300.4,289.7,321.7,61.1,1800,3.7,0.2,0,383.6,375.0,390.0,11.6,1800,3.7,0.1,0
"2025-06-01T15:30:00Z","2025-06-01T16:00:00Z",968.89,342.44,1336.09,64679.04,1800,38.71,5.99,0,138.97,42.56,196.79,1496.30,1800,4.41,0.91,0,300.5,288.3,319.5,75.3,1800,3.7,0.2,0,387.1,377.9,393.4,8.9,1800,3.7,0.1,0
"2025-06-01T16:00:00Z","2025-06-01T16:30:00Z",1011.55,451.55,1391.16,87705.82,1800,40.79,6.98,0,145.78,61.10,206.28,2050.45,1800,4.72,1.07,0,317.9,308.0,327.9,9.0,1800,3.7,0.1,0,390.6,380.0,399.1,26.4,1800,3.8,0.1,0
"2025-06-01T16:30:00Z","2025-06-01T17:00:00Z",791.42,478.55,1478.38,97343.89,1800,43.30,7.35,0,114.68,64.25,222.75,2184.11,1800,5.05,1.10,0,331.8,309.8,344.9,78.8,1800,3.7,0.2,0,389.0,382.0,397.9,15.4,1800,3.7,0.1,0
"2025-06-01T17:00:00Z","2025-06-01T17:30:00Z",898.11,358.25,1394.73,119992.41,1800,41.75,8.16,0,129.91,47.80,206.17,2756.87,1800,4.88,1.24,0,323.0,307.9,335.2,45.2,1800,3.7,0.2,0,390.0,383.0,399.5,18.6,1800,3.7,0.1,0
"2025-06-01T17:30:00Z","2025-06-01T18:00:00Z",826.57,324.92,1273.91,120302.97,1800,38.72,8.18,0,118.45,41.22,189.18,2663.06,1800,4.57,1.22,0,315.0,303.5,347.2,127.9,1800,3.7,0.3,0,391.6,384.1,399.8,17.3,1800,3.7,0.1,0
"2025-06-01T18:00:00Z","2025-06-01T18:30:00Z",542.83,376.88,1345.05,55292.01,1800,38.68,5.54,0,79.40,57.12,201.73,1205.22,1800,4.43,0.82,0,338.0,321.9,348.0,47.9,1800,3.7,0.2,0,389.2,385.0,399.9,10.4,1800,3.7,0.1,0
