Serial_number:
2195833
Project ID:
Zealand
Location:
LL02_high_flow_diversion_gw_at_0
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/3/2025,09:30:00 am,0,0.3701,8.099
6/3/2025,09:40:00 am,0,0.3693,7.983
6/3/2025,09:50:00 am,0,0.3687,8.068
6/3/2025,10:00:00 am,0,0.3682,8.173
6/3/2025,10:10:00 am,0,0.3685,8.290
6/3/2025,10:20:00 am,0,0.3683,8.423
6/3/2025,10:30:00 am,0,0.3675,8.584
6/3/2025,10:40:00 am,0,0.3669,8.755
6/3/2025,10:50:00 am,0,0.3660,8.923
6/3/2025,11:00:00 am,0,0.3652,9.101
6/3/2025,11:10:00 am,0,0.3639,9.281
6/3/2025,11:20:00 am,0,0.3661,9.466
6/3/2025,11:30:00 am,0,0.3618,9.649
6/3/2025,11:40:00 am,0,0.3622,9.819
6/3/2025,11:50:00 am,0,0.3606,9.982
6/3/2025,12:00:00 pm,0,0.3626,10.150
6/3/2025,12:10:00 pm,0,0.3619,10.301
6/3/2025,12:20:00 pm,0,0.3617,10.451
6/3/2025,12:30:00 pm,0,0.3627,10.591
6/3/2025,12:40:00 pm,0,0.3623,10.734
6/3/2025,12:50:00 pm,0,0.3616,10.854
6/3/2025,01:00:00 pm,0,0.3620,10.959
6/3/2025,01:10:00 pm,0,0.3597,11.041
6/3/2025,01:20:00 pm,0,0.3575,11.097
6/3/2025,01:30:00 pm,0,0.3587,11.164
6/3/2025,01:40:00 pm,0,0.3591,11.246
6/3/2025,01:50:00 pm,0,0.3576,11.308
6/3/2025,02:00:00 pm,0,0.3585,11.359
6/3/2025,02:10:00 pm,0,0.3586,11.398
6/3/2025,02:20:00 pm,0,0.3537,11.422
6/3/2025,02:30:00 pm,0,0.3557,11.448
6/3/2025,02:40:00 pm,0,0.3594,11.464
6/3/2025,02:50:00 pm,0,0.3541,11.465
6/3/2025,03:00:00 pm,0,0.3541,11.464
6/3/2025,03:10:00 pm,0,0.3561,11.481
6/3/2025,03:20:00 pm,0,0.3517,11.482
6/3/2025,03:30:00 pm,0,0.3538,11.491
6/3/2025,03:40:00 pm,0,0.3512,11.484
6/3/2025,03:50:00 pm,0,0.3551,11.470
6/3/2025,04:00:00 pm,0,0.3530,11.466
6/3/2025,04:10:00 pm,0,0.3509,11.474
6/3/2025,04:20:00 pm,0,0.3514,11.483
6/3/2025,04:30:00 pm,0,0.3513,11.482
6/3/2025,04:40:00 pm,0,0.3501,11.470
6/3/2025,04:50:00 pm,0,0.3516,11.450
6/3/2025,05:00:00 pm,0,0.3496,11.420
6/3/2025,05:10:00 pm,0,0.3491,11.416
6/3/2025,05:20:00 pm,0,0.3497,11.411
6/3/2025,05:30:00 pm,0,0.3478,11.415
6/3/2025,05:40:00 pm,0,0.3465,11.405
6/3/2025,05:50:00 pm,0,0.3473,11.389
6/3/2025,06:00:00 pm,0,0.3451,11.364
6/3/2025,06:10:00 pm,0,0.3485,11.339
