Serial_number:
2195511
Project ID:
Zealand
Location:
LL01_div_sw
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/22/2025,03:40:00 pm,0,0.0466,27.747
8/22/2025,03:50:00 pm,0,0.0224,26.787
8/22/2025,04:00:00 pm,0,0.0284,26.074
8/22/2025,04:10:00 pm,0,0.0321,27.766
8/22/2025,04:20:00 pm,0,0.0284,29.780
8/22/2025,04:30:00 pm,0,0.0297,30.566
8/22/2025,04:40:00 pm,0,0.0265,29.971
8/22/2025,04:50:00 pm,0,0.0279,30.450
8/22/2025,05:00:00 pm,0,0.0263,30.610
8/22/2025,05:10:00 pm,0,0.0225,30.175
8/22/2025,05:20:00 pm,0,0.0728,16.808
8/22/2025,05:30:00 pm,0,0.0704,16.481
8/22/2025,05:40:00 pm,0,0.0685,16.358
8/22/2025,05:50:00 pm,0,0.0680,16.342
8/22/2025,06:00:00 pm,0,0.0681,16.303
8/22/2025,06:10:00 pm,0,0.0677,16.223
8/22/2025,06:20:00 pm,0,0.0676,16.169
8/22/2025,06:30:00 pm,0,0.0673,16.145
8/22/2025,06:40:00 pm,0,0.0674,16.099
8/22/2025,06:50:00 pm,0,0.0673,16.031
8/22/2025,07:00:00 pm,0,0.0672,15.983
8/22/2025,07:10:00 pm,0,0.0663,15.884
8/22/2025,07:20:00 pm,0,0.0665,15.842
8/22/2025,07:30:00 pm,0,0.0665,15.793
8/22/2025,07:40:00 pm,0,0.0663,15.740
8/22/2025,07:50:00 pm,0,0.0653,15.655
8/22/2025,08:00:00 pm,0,0.0655,15.609
8/22/2025,08:10:00 pm,0,0.0657,15.546
8/22/2025,08:20:00 pm,0,0.0652,15.464
8/22/2025,08:30:00 pm,0,0.0654,15.399
8/22/2025,08:40:00 pm,0,0.0650,15.336
8/22/2025,08:50:00 pm,0,0.0653,15.274
8/22/2025,09:00:00 pm,0,0.0649,15.208
8/22/2025,09:10:00 pm,0,0.0648,15.161
8/22/2025,09:20:00 pm,0,0.0651,15.097
8/22/2025,09:30:00 pm,0,0.0647,15.056
8/22/2025,09:40:00 pm,0,0.0645,15.008
8/22/2025,09:50:00 pm,0,0.0644,14.950
8/22/2025,10:00:00 pm,0,0.0642,14.882
8/22/2025,10:10:00 pm,0,0.0644,14.823
8/22/2025,10:20:00 pm,0,0.0641,14.767
8/22/2025,10:30:00 pm,0,0.0642,14.721
8/22/2025,10:40:00 pm,0,0.0636,14.657
8/22/2025,10:50:00 pm,0,0.0639,14.593
8/22/2025,11:00:00 pm,0,0.0641,14.553
8/22/2025,11:10:00 pm,0,0.0640,14.502
8/22/2025,11:20:00 pm,0,0.0638,14.452
8/22/2025,11:30:00 pm,0,0.0637,14.398
8/22/2025,11:40:00 pm,0,0.0635,14.372
8/22/2025,11:50:00 pm,0,0.0637,14.343
8/23/2025,12:00:00 am,0,0.0640,14.291
8/23/2025,12:10:00 am,0,0.0632,14.257
8/23/2025,12:20:00 am,0,0.0641,14.191
8/23/2025,12:30:00 am,0,0.0646,14.150
8/23/2025,12:40:00 am,0,0.0640,14.136
8/23/2025,12:50:00 am,0,0.0634,14.092
8/23/2025,01:00:00 am,0,0.0637,14.038
8/23/2025,01:10:00 am,0,0.0638,14.037
