Serial_number:
2195777
Project ID:
Zealand
Location:
LL06_small_chan_sw
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/2/2025,06:00:00 pm,0,0.0198,17.512
6/2/2025,06:10:00 pm,0,0.0286,18.323
6/2/2025,06:20:00 pm,0,0.2743,9.203
6/2/2025,06:30:00 pm,0,0.2710,8.938
6/2/2025,06:40:00 pm,0,0.2702,8.806
6/2/2025,06:50:00 pm,0,0.2702,8.728
6/2/2025,07:00:00 pm,0,0.2710,8.677
6/2/2025,07:10:00 pm,0,0.2709,8.639
6/2/2025,07:20:00 pm,0,0.2710,8.607
6/2/2025,07:30:00 pm,0,0.2711,8.580
6/2/2025,07:40:00 pm,0,0.2712,8.552
6/2/2025,07:50:00 pm,0,0.2713,8.524
6/2/2025,08:00:00 pm,0,0.2709,8.498
6/2/2025,08:10:00 pm,0,0.2710,8.473
6/2/2025,08:20:00 pm,0,0.2713,8.443
6/2/2025,08:30:00 pm,0,0.2716,8.417
6/2/2025,08:40:00 pm,0,0.2717,8.388
6/2/2025,08:50:00 pm,0,0.2718,8.356
6/2/2025,09:00:00 pm,0,0.2719,8.326
6/2/2025,09:10:00 pm,0,0.2718,8.302
6/2/2025,09:20:00 pm,0,0.2726,8.270
6/2/2025,09:30:00 pm,0,0.2723,8.244
6/2/2025,09:40:00 pm,0,0.2731,8.213
6/2/2025,09:50:00 pm,0,0.2735,8.187
6/2/2025,10:00:00 pm,0,0.2735,8.154
6/2/2025,10:10:00 pm,0,0.2737,8.132
6/2/2025,10:20:00 pm,0,0.2814,8.104
6/2/2025,10:30:00 pm,0,0.2814,8.076
6/2/2025,10:40:00 pm,0,0.2811,8.055
6/2/2025,10:50:00 pm,0,0.2809,8.030
6/2/2025,11:00:00 pm,0,0.2801,8.003
6/2/2025,11:10:00 pm,0,0.2793,7.981
6/2/2025,11:20:00 pm,0,0.2788,7.953
6/2/2025,11:30:00 pm,0,0.2784,7.930
6/2/2025,11:40:00 pm,0,0.2776,7.908
6/2/2025,11:50:00 pm,0,0.2766,7.878
6/3/2025,12:00:00 am,0,0.2760,7.858
6/3/2025,12:10:00 am,0,0.2750,7.831
6/3/2025,12:20:00 am,0,0.2741,7.811
6/3/2025,12:30:00 am,0,0.2725,7.783
6/3/2025,12:40:00 am,0,0.2719,7.760
6/3/2025,12:50:00 am,0,0.2714,7.735
6/3/2025,01:00:00 am,0,0.2705,7.714
6/3/2025,01:10:00 am,0,0.2696,7.688
6/3/2025,01:20:00 am,0,0.2687,7.665
6/3/2025,01:30:00 am,0,0.2681,7.645
6/3/2025,01:40:00 am,0,0.2680,7.619
6/3/2025,01:50:00 am,0,0.2696,7.598
6/3/2025,02:00:00 am,0,0.2699,7.576
6/3/2025,02:10:00 am,0,0.2696,7.553
6/3/2025,02:20:00 am,0,0.2696,7.529
6/3/2025,02:30:00 am,0,0.2696,7.516
6/3/2025,02:40:00 am,0,0.2693,7.493
6/3/2025,02:50:00 am,0,0.2693,7.470
6/3/2025,03:00:00 am,0,0.2694,7.447
6/3/2025,03:10:00 am,0,0.2692,7.432
6/3/2025,03:20:00 am,0,0.2692,7.413
6/3/2025,03:30:00 am,0,0.2691,7.396
6/3/2025,03:40:00 am,0,0.2687,7.374
6/3/2025,03:50:00 am,0,0.2688,7.352
6/3/2025,04:00:00 am,0,0.2688,7.328
6/3/2025,04:10:00 am,0,0.2687,7.306
6/3/2025,04:20:00 am,0,0.2696,7.288
6/3/2025,04:30:00 am,0,0.2693,7.263
6/3/2025,04:40:00 am,0,0.2695,7.246
6/3/2025,04:50:00 am,0,0.2696,7.222
6/3/2025,05:00:00 am,0,0.2698,7.203
6/3/2025,05:10:00 am,0,0.2698,7.177
6/3/2025,05:20:00 am,0,0.2697,7.161
6/3/2025,05:30:00 am,0,0.2695,7.149
6/3/2025,05:40:00 am,0,0.2699,7.132
6/3/2025,05:50:00 am,0,0.2698,7.118
6/3/2025,06:00:00 am,0,0.2702,7.108
6/3/2025,06:10:00 am,0,0.2703,7.101
6/3/2025,06:20:00 am,0,0.2778,7.076
6/3/2025,06:30:00 am,0,0.2776,7.069
6/3/2025,06:40:00 am,0,0.2775,7.066
6/3/2025,06:50:00 am,0,0.2772,7.061
6/3/2025,07:00:00 am,0,0.2765,7.056
6/3/2025,07:10:00 am,0,0.2766,7.055
6/3/2025,07:20:00 am,0,0.2765,7.058
6/3/2025,07:30:00 am,0,0.2761,7.066
6/3/2025,07:40:00 am,0,0.2764,7.075
6/3/2025,07:50:00 am,0,0.2758,7.092
6/3/2025,08:00:00 am,0,0.2763,7.111
6/3/2025,08:10:00 am,0,0.2764,7.133
6/3/2025,08:20:00 am,0,0.2770,7.160
6/3/2025,08:30:00 am,0,0.2767,7.196
6/3/2025,08:40:00 am,0,0.2771,7.235
6/3/2025,08:50:00 am,0,0.2772,7.277
6/3/2025,09:00:00 am,0,0.2776,7.317
6/3/2025,09:10:00 am,0,0.2778,7.357
6/3/2025,09:20:00 am,0,0.2786,7.404
6/3/2025,09:30:00 am,0,0.2788,7.451
6/3/2025,09:40:00 am,0,0.2786,7.501
6/3/2025,09:50:00 am,0,0.2792,7.555
6/3/2025,10:00:00 am,0,0.2796,7.625
6/3/2025,10:10:00 am,0,0.2806,7.713
6/3/2025,10:20:00 am,0,0.2805,7.780
6/3/2025,10:30:00 am,0,0.2807,7.839
6/3/2025,10:40:00 am,0,0.2806,7.900
6/3/2025,10:50:00 am,0,0.2809,7.965
6/3/2025,11:00:00 am,0,0.2818,8.030
6/3/2025,11:10:00 am,0,0.2824,8.099
6/3/2025,11:20:00 am,0,0.2830,8.166
6/3/2025,11:30:00 am,0,0.2846,8.237
6/3/2025,11:40:00 am,0,0.2851,8.321
6/3/2025,11:50:00 am,0,0.2865,8.398
6/3/2025,12:00:00 pm,0,0.2866,8.466
6/3/2025,12:10:00 pm,0,0.2884,8.534
6/3/2025,12:20:00 pm,0,0.2892,8.601
6/3/2025,12:30:00 pm,0,0.2894,8.687
6/3/2025,12:40:00 pm,0,0.2902,8.778
6/3/2025,12:50:00 pm,0,0.2917,8.861
6/3/2025,01:00:00 pm,0,0.2925,8.957
6/3/2025,01:10:00 pm,0,0.2931,9.030
6/3/2025,01:20:00 pm,0,0.2916,9.077
6/3/2025,01:30:00 pm,0,0.2922,9.107
6/3/2025,01:40:00 pm,0,0.2925,9.129
6/3/2025,01:50:00 pm,0,0.2931,9.151
6/3/2025,02:00:00 pm,0,0.2926,9.174
6/3/2025,02:10:00 pm,0,0.2931,9.200
6/3/2025,02:20:00 pm,0,0.2927,9.231
6/3/2025,02:30:00 pm,0,0.2928,9.263
6/3/2025,02:40:00 pm,0,0.2920,9.291
6/3/2025,02:50:00 pm,0,0.2915,9.311
6/3/2025,03:00:00 pm,0,0.2921,9.330
6/3/2025,03:10:00 pm,0,0.2919,9.349
6/3/2025,03:20:00 pm,0,0.2909,9.363
6/3/2025,03:30:00 pm,0,0.2908,9.375
6/3/2025,03:40:00 pm,0,0.2906,9.386
6/3/2025,03:50:00 pm,0,0.2914,9.386
6/3/2025,04:00:00 pm,0,0.2908,9.386
6/3/2025,04:10:00 pm,0,0.2910,9.386
6/3/2025,04:20:00 pm,0,0.2907,9.384
6/3/2025,04:30:00 pm,0,0.2902,9.382
6/3/2025,04:40:00 pm,0,0.2893,9.378
6/3/2025,04:50:00 pm,0,0.2896,9.373
6/3/2025,05:00:00 pm,0,0.2886,9.364
6/3/2025,05:10:00 pm,0,0.2877,9.355
6/3/2025,05:20:00 pm,0,0.2880,9.345
6/3/2025,05:30:00 pm,0,0.2876,9.333
6/3/2025,05:40:00 pm,0,0.2870,9.325
6/3/2025,05:50:00 pm,0,0.2876,9.316
6/3/2025,06:00:00 pm,0,0.2874,9.304
6/3/2025,06:10:00 pm,0,0.2869,9.293
6/3/2025,06:20:00 pm,0,0.2862,9.279
6/3/2025,06:30:00 pm,0,0.2856,9.259
6/3/2025,06:40:00 pm,0,0.2849,9.243
6/3/2025,06:50:00 pm,0,0.2850,9.223
6/3/2025,07:00:00 pm,0,0.2844,9.200
6/3/2025,07:10:00 pm,0,0.2840,9.177
6/3/2025,07:20:00 pm,0,0.2828,9.150
6/3/2025,07:30:00 pm,0,0.2821,9.126
6/3/2025,07:40:00 pm,0,0.2807,9.095
6/3/2025,07:50:00 pm,0,0.2796,9.067
6/3/2025,08:00:00 pm,0,0.2783,9.036
6/3/2025,08:10:00 pm,0,0.2771,9.004
6/3/2025,08:20:00 pm,0,0.2767,8.970
6/3/2025,08:30:00 pm,0,0.2762,8.937
6/3/2025,08:40:00 pm,0,0.2759,8.903
6/3/2025,08:50:00 pm,0,0.2755,8.868
6/3/2025,09:00:00 pm,0,0.2757,8.834
6/3/2025,09:10:00 pm,0,0.2756,8.798
6/3/2025,09:20:00 pm,0,0.2753,8.767
6/3/2025,09:30:00 pm,0,0.2740,8.734
6/3/2025,09:40:00 pm,0,0.2732,8.699
6/3/2025,09:50:00 pm,0,0.2717,8.669
6/3/2025,10:00:00 pm,0,0.2705,8.637
6/3/2025,10:10:00 pm,0,0.2690,8.606
6/3/2025,10:20:00 pm,0,0.2679,8.575
6/3/2025,10:30:00 pm,0,0.2677,8.544
6/3/2025,10:40:00 pm,0,0.2667,8.519
6/3/2025,10:50:00 pm,0,0.2654,8.487
6/3/2025,11:00:00 pm,0,0.2651,8.458
6/3/2025,11:10:00 pm,0,0.2647,8.433
6/3/2025,11:20:00 pm,0,0.2639,8.407
6/3/2025,11:30:00 pm,0,0.2633,8.380
6/3/2025,11:40:00 pm,0,0.2622,8.356
6/3/2025,11:50:00 pm,0,0.2620,8.335
6/4/2025,12:00:00 am,0,0.2616,8.311
6/4/2025,12:10:00 am,0,0.2612,8.287
6/4/2025,12:20:00 am,0,0.2610,8.266
6/4/2025,12:30:00 am,0,0.2607,8.240
6/4/2025,12:40:00 am,0,0.2607,8.218
6/4/2025,12:50:00 am,0,0.2609,8.197
6/4/2025,01:00:00 am,0,0.2600,8.177
6/4/2025,01:10:00 am,0,0.2601,8.160
6/4/2025,01:20:00 am,0,0.2597,8.139
6/4/2025,01:30:00 am,0,0.2602,8.121
6/4/2025,01:40:00 am,0,0.2611,8.104
6/4/2025,01:50:00 am,0,0.2612,8.085
6/4/2025,02:00:00 am,0,0.2622,8.067
6/4/2025,02:10:00 am,0,0.2621,8.053
6/4/2025,02:20:00 am,0,0.2622,8.034
6/4/2025,02:30:00 am,0,0.2616,8.021
6/4/2025,02:40:00 am,0,0.2617,8.006
6/4/2025,02:50:00 am,0,0.2623,7.990
6/4/2025,03:00:00 am,0,0.2623,7.976
6/4/2025,03:10:00 am,0,0.2625,7.966
6/4/2025,03:20:00 am,0,0.2624,7.954
6/4/2025,03:30:00 am,0,0.2626,7.943
6/4/2025,03:40:00 am,0,0.2623,7.931
6/4/2025,03:50:00 am,0,0.2624,7.920
6/4/2025,04:00:00 am,0,0.2628,7.908
6/4/2025,04:10:00 am,0,0.2624,7.897
6/4/2025,04:20:00 am,0,0.2628,7.888
6/4/2025,04:30:00 am,0,0.2628,7.880
6/4/2025,04:40:00 am,0,0.2630,7.870
6/4/2025,04:50:00 am,0,0.2631,7.863
6/4/2025,05:00:00 am,0,0.2629,7.857
6/4/2025,05:10:00 am,0,0.2630,7.847
6/4/2025,05:20:00 am,0,0.2630,7.840
6/4/2025,05:30:00 am,0,0.2631,7.832
6/4/2025,05:40:00 am,0,0.2633,7.825
6/4/2025,05:50:00 am,0,0.2632,7.820
6/4/2025,06:00:00 am,0,0.2630,7.817
6/4/2025,06:10:00 am,0,0.2635,7.813
6/4/2025,06:20:00 am,0,0.2635,7.812
6/4/2025,06:30:00 am,0,0.2635,7.809
6/4/2025,06:40:00 am,0,0.2640,7.811
6/4/2025,06:50:00 am,0,0.2642,7.813
6/4/2025,07:00:00 am,0,0.2642,7.814
6/4/2025,07:10:00 am,0,0.2641,7.819
6/4/2025,07:20:00 am,0,0.2645,7.826
6/4/2025,07:30:00 am,0,0.2643,7.835
6/4/2025,07:40:00 am,0,0.2643,7.844
6/4/2025,07:50:00 am,0,0.2644,7.856
6/4/2025,08:00:00 am,0,0.2646,7.868
6/4/2025,08:10:00 am,0,0.2648,7.884
6/4/2025,08:20:00 am,0,0.2646,7.904
6/4/2025,08:30:00 am,0,0.2648,7.923
6/4/2025,08:40:00 am,0,0.2646,7.948
6/4/2025,08:50:00 am,0,0.2644,7.973
6/4/2025,09:00:00 am,0,0.2644,8.001
6/4/2025,09:10:00 am,0,0.2644,8.029
6/4/2025,09:20:00 am,0,0.2646,8.064
6/4/2025,09:30:00 am,0,0.2645,8.096
6/4/2025,09:40:00 am,0,0.2651,8.129
6/4/2025,09:50:00 am,0,0.2650,8.167
6/4/2025,10:00:00 am,0,0.2651,8.210
6/4/2025,10:10:00 am,0,0.2650,8.270
6/4/2025,10:20:00 am,0,0.2654,8.324
6/4/2025,10:30:00 am,0,0.2653,8.372
6/4/2025,10:40:00 am,0,0.2653,8.422
6/4/2025,10:50:00 am,0,0.2651,8.476
6/4/2025,11:00:00 am,0,0.2653,8.539
6/4/2025,11:10:00 am,0,0.2656,8.599
6/4/2025,11:20:00 am,0,0.2656,8.664
6/4/2025,11:30:00 am,0,0.2656,8.728
6/4/2025,11:40:00 am,0,0.2659,8.797
6/4/2025,11:50:00 am,0,0.2659,8.865
6/4/2025,12:00:00 pm,0,0.2661,8.930
6/4/2025,12:10:00 pm,0,0.2662,8.993
6/4/2025,12:20:00 pm,0,0.2664,9.058
6/4/2025,12:30:00 pm,0,0.2665,9.124
6/4/2025,12:40:00 pm,0,0.2660,9.198
6/4/2025,12:50:00 pm,0,0.2667,9.268
6/4/2025,01:00:00 pm,0,0.2668,9.345
6/4/2025,01:10:00 pm,0,0.2671,9.412
6/4/2025,01:20:00 pm,0,0.2674,9.465
6/4/2025,01:30:00 pm,0,0.2673,9.508
6/4/2025,01:40:00 pm,0,0.2674,9.551
6/4/2025,01:50:00 pm,0,0.2671,9.592
6/4/2025,02:00:00 pm,0,0.2668,9.632
6/4/2025,02:10:00 pm,0,0.2673,9.671
6/4/2025,02:20:00 pm,0,0.2674,9.707
6/4/2025,02:30:00 pm,0,0.2675,9.746
6/4/2025,02:40:00 pm,0,0.2674,9.778
6/4/2025,02:50:00 pm,0,0.2677,9.807
6/4/2025,03:00:00 pm,0,0.2675,9.837
6/4/2025,03:10:00 pm,0,0.2677,9.865
6/4/2025,03:20:00 pm,0,0.2674,9.889
6/4/2025,03:30:00 pm,0,0.2678,9.918
6/4/2025,03:40:00 pm,0,0.2681,9.948
6/4/2025,03:50:00 pm,0,0.2678,9.973
6/4/2025,04:00:00 pm,0,0.2680,9.999
6/4/2025,04:10:00 pm,0,0.2687,10.024
6/4/2025,04:20:00 pm,0,0.2684,10.042
6/4/2025,04:30:00 pm,0,0.2685,10.057
6/4/2025,04:40:00 pm,0,0.2687,10.068
6/4/2025,04:50:00 pm,0,0.2687,10.085
6/4/2025,05:00:00 pm,0,0.2687,10.092
6/4/2025,05:10:00 pm,0,0.2686,10.101
6/4/2025,05:20:00 pm,0,0.2687,10.108
6/4/2025,05:30:00 pm,0,0.2692,10.113
6/4/2025,05:40:00 pm,0,0.2684,10.111
6/4/2025,05:50:00 pm,0,0.2681,10.104
6/4/2025,06:00:00 pm,0,0.2679,10.093
6/4/2025,06:10:00 pm,0,0.2676,10.076
6/4/2025,06:20:00 pm,0,0.2670,10.056
6/4/2025,06:30:00 pm,0,0.2665,10.036
6/4/2025,06:40:00 pm,0,0.2664,10.010
6/4/2025,06:50:00 pm,0,0.2662,9.984
6/4/2025,07:00:00 pm,0,0.2663,9.958
6/4/2025,07:10:00 pm,0,0.2662,9.928
6/4/2025,07:20:00 pm,0,0.2659,9.899
6/4/2025,07:30:00 pm,0,0.2656,9.868
6/4/2025,07:40:00 pm,0,0.2651,9.832
6/4/2025,07:50:00 pm,0,0.2647,9.801
6/4/2025,08:00:00 pm,0,0.2645,9.768
6/4/2025,08:10:00 pm,0,0.2640,9.735
6/4/2025,08:20:00 pm,0,0.2638,9.697
6/4/2025,08:30:00 pm,0,0.2637,9.665
6/4/2025,08:40:00 pm,0,0.2635,9.633
6/4/2025,08:50:00 pm,0,0.2635,9.599
6/4/2025,09:00:00 pm,0,0.2633,9.569
6/4/2025,09:10:00 pm,0,0.2631,9.538
6/4/2025,09:20:00 pm,0,0.2631,9.502
6/4/2025,09:30:00 pm,0,0.2629,9.464
6/4/2025,09:40:00 pm,0,0.2624,9.427
6/4/2025,09:50:00 pm,0,0.2626,9.389
6/4/2025,10:00:00 pm,0,0.2622,9.354
6/4/2025,10:10:00 pm,0,0.2626,9.320
6/4/2025,10:20:00 pm,0,0.2621,9.283
6/4/2025,10:30:00 pm,0,0.2622,9.248
6/4/2025,10:40:00 pm,0,0.2623,9.212
6/4/2025,10:50:00 pm,0,0.2618,9.177
6/4/2025,11:00:00 pm,0,0.2618,9.143
6/4/2025,11:10:00 pm,0,0.2614,9.114
6/4/2025,11:20:00 pm,0,0.2620,9.083
6/4/2025,11:30:00 pm,0,0.2620,9.050
6/4/2025,11:40:00 pm,0,0.2612,9.020
6/4/2025,11:50:00 pm,0,0.2616,8.996
6/5/2025,12:00:00 am,0,0.2615,8.973
6/5/2025,12:10:00 am,0,0.2618,8.947
6/5/2025,12:20:00 am,0,0.2614,8.926
6/5/2025,12:30:00 am,0,0.2612,8.902
6/5/2025,12:40:00 am,0,0.2611,8.878
6/5/2025,12:50:00 am,0,0.2610,8.858
6/5/2025,01:00:00 am,0,0.2617,8.839
6/5/2025,01:10:00 am,0,0.2614,8.823
6/5/2025,01:20:00 am,0,0.2612,8.803
6/5/2025,01:30:00 am,0,0.2614,8.785
6/5/2025,01:40:00 am,0,0.2613,8.767
6/5/2025,01:50:00 am,0,0.2611,8.750
6/5/2025,02:00:00 am,0,0.2613,8.732
6/5/2025,02:10:00 am,0,0.2610,8.716
6/5/2025,02:20:00 am,0,0.2611,8.699
6/5/2025,02:30:00 am,0,0.2617,8.680
6/5/2025,02:40:00 am,0,0.2613,8.664
6/5/2025,02:50:00 am,0,0.2610,8.650
6/5/2025,03:00:00 am,0,0.2615,8.633
6/5/2025,03:10:00 am,0,0.2611,8.616
6/5/2025,03:20:00 am,0,0.2613,8.599
6/5/2025,03:30:00 am,0,0.2611,8.584
6/5/2025,03:40:00 am,0,0.2613,8.567
6/5/2025,03:50:00 am,0,0.2613,8.554
6/5/2025,04:00:00 am,0,0.2614,8.537
6/5/2025,04:10:00 am,0,0.2613,8.527
6/5/2025,04:20:00 am,0,0.2613,8.513
6/5/2025,04:30:00 am,0,0.2614,8.500
6/5/2025,04:40:00 am,0,0.2614,8.489
6/5/2025,04:50:00 am,0,0.2614,8.478
6/5/2025,05:00:00 am,0,0.2613,8.468
6/5/2025,05:10:00 am,0,0.2616,8.456
6/5/2025,05:20:00 am,0,0.2614,8.444
6/5/2025,05:30:00 am,0,0.2616,8.436
6/5/2025,05:40:00 am,0,0.2616,8.428
6/5/2025,05:50:00 am,0,0.2617,8.421
6/5/2025,06:00:00 am,0,0.2619,8.415
6/5/2025,06:10:00 am,0,0.2617,8.408
6/5/2025,06:20:00 am,0,0.2620,8.403
6/5/2025,06:30:00 am,0,0.2685,8.396
6/5/2025,06:40:00 am,0,0.2689,8.392
6/5/2025,06:50:00 am,0,0.2689,8.392
6/5/2025,07:00:00 am,0,0.2686,8.391
6/5/2025,07:10:00 am,0,0.2684,8.392
6/5/2025,07:20:00 am,0,0.2681,8.393
6/5/2025,07:30:00 am,0,0.2682,8.396
6/5/2025,07:40:00 am,0,0.2682,8.401
6/5/2025,07:50:00 am,0,0.2682,8.413
6/5/2025,08:00:00 am,0,0.2682,8.420
6/5/2025,08:10:00 am,0,0.2680,8.434
6/5/2025,08:20:00 am,0,0.2681,8.446
6/5/2025,08:30:00 am,0,0.2679,8.469
6/5/2025,08:40:00 am,0,0.2681,8.492
6/5/2025,08:50:00 am,0,0.2682,8.518
6/5/2025,09:00:00 am,0,0.2689,8.544
6/5/2025,09:10:00 am,0,0.2688,8.572
6/5/2025,09:20:00 am,0,0.2690,8.603
6/5/2025,09:30:00 am,0,0.2695,8.636
6/5/2025,09:40:00 am,0,0.2706,8.674
6/5/2025,09:50:00 am,0,0.2710,8.715
6/5/2025,10:00:00 am,0,0.2708,8.768
6/5/2025,10:10:00 am,0,0.2719,8.856
6/5/2025,10:20:00 am,0,0.2732,8.926
6/5/2025,10:30:00 am,0,0.2741,8.980
6/5/2025,10:40:00 am,0,0.2746,9.036
6/5/2025,10:50:00 am,0,0.2761,9.094
6/5/2025,11:00:00 am,0,0.2768,9.163
6/5/2025,11:10:00 am,0,0.2783,9.237
6/5/2025,11:20:00 am,0,0.2796,9.312
6/5/2025,11:30:00 am,0,0.2803,9.387
6/5/2025,11:40:00 am,0,0.2812,9.466
6/5/2025,11:50:00 am,0,0.0376,21.109
6/5/2025,12:00:00 pm,0,0.2746,12.961
6/5/2025,12:10:00 pm,0,0.2698,11.051
6/5/2025,12:20:00 pm,0,0.2636,10.512
6/5/2025,12:30:00 pm,0,0.2636,10.287
6/5/2025,12:40:00 pm,0,0.2641,10.211
6/5/2025,12:50:00 pm,0,0.2646,10.195
6/5/2025,01:00:00 pm,0,0.2640,10.214
6/5/2025,01:10:00 pm,0,0.2647,10.250
6/5/2025,01:20:00 pm,0,0.2660,10.287
6/5/2025,01:30:00 pm,0,0.2660,10.319
6/5/2025,01:40:00 pm,0,0.2674,10.352
6/5/2025,01:50:00 pm,0,0.2677,10.381
6/5/2025,02:00:00 pm,0,0.2690,10.412
6/5/2025,02:10:00 pm,0,0.2689,10.446
6/5/2025,02:20:00 pm,0,0.2698,10.477
6/5/2025,02:30:00 pm,0,0.2707,10.516
6/5/2025,02:40:00 pm,0,0.2706,10.552
6/5/2025,02:50:00 pm,0,0.2716,10.583
6/5/2025,03:00:00 pm,0,0.2718,10.612
6/5/2025,03:10:00 pm,0,0.2731,10.636
6/5/2025,03:20:00 pm,0,0.2736,10.651
6/5/2025,03:30:00 pm,0,0.2743,10.670
6/5/2025,03:40:00 pm,0,0.2755,10.678
6/5/2025,03:50:00 pm,0,0.2759,10.683
