Serial_number:
2179571
Project ID:
Zealand
Location:
Zealand 6
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/30/2025,12:53:27 pm,0,0.3169,11.325
5/30/2025,02:53:27 pm,0,0.3281,11.125
5/30/2025,04:53:27 pm,0,0.3283,11.225
5/30/2025,06:53:27 pm,0,0.3250,11.073
5/30/2025,08:53:27 pm,0,0.3247,10.732
5/30/2025,10:53:27 pm,0,0.3227,10.435
5/31/2025,12:53:27 am,0,0.3206,10.224
5/31/2025,02:53:27 am,0,0.3214,10.060
5/31/2025,04:53:27 am,0,0.3219,9.928
5/31/2025,06:53:27 am,0,0.3305,9.844
5/31/2025,08:53:27 am,0,0.3520,9.844
5/31/2025,10:53:27 am,0,0.3984,10.087
5/31/2025,12:53:27 pm,0,0.4530,10.180
5/31/2025,02:53:27 pm,0,0.6713,10.255
5/31/2025,04:53:27 pm,0,0.6563,10.261
5/31/2025,06:53:27 pm,0,0.6348,10.274
5/31/2025,08:53:27 pm,0,0.7322,9.972
5/31/2025,10:53:27 pm,0,0.7607,9.528
6/1/2025,12:53:27 am,0,0.8282,9.213
6/1/2025,02:53:27 am,0,0.8726,8.874
6/1/2025,04:53:27 am,0,0.8540,8.610
6/1/2025,06:53:27 am,0,0.8045,8.540
6/1/2025,08:53:27 am,0,0.7502,8.483
6/1/2025,10:53:27 am,0,0.7059,8.496
6/1/2025,12:53:27 pm,0,0.6654,8.730
6/1/2025,02:53:27 pm,0,0.6353,8.798
6/1/2025,04:53:27 pm,0,0.6071,8.741
6/1/2025,06:53:27 pm,0,0.5889,8.624
6/1/2025,08:53:27 pm,0,0.5629,8.478
6/1/2025,10:53:27 pm,0,0.5438,8.314
6/2/2025,12:53:27 am,0,0.5282,8.151
6/2/2025,02:53:27 am,0,0.5187,8.004
6/2/2025,04:53:27 am,0,0.5133,7.872
6/2/2025,06:53:27 am,0,0.4935,7.766
6/2/2025,08:53:27 am,0,0.4899,7.673
6/2/2025,10:53:27 am,0,0.4895,7.638
