Serial_number:
2179571
Project ID:
Zealand
Location:
LL07_lower_bench
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/2/2025,12:30:00 pm,0,0.4798,8.168
6/2/2025,12:40:00 pm,0,0.4784,8.099
6/2/2025,12:50:00 pm,0,0.4780,8.062
6/2/2025,01:00:00 pm,0,0.4771,8.050
6/2/2025,01:10:00 pm,0,0.4773,8.045
6/2/2025,01:20:00 pm,0,0.4766,8.052
6/2/2025,01:30:00 pm,0,0.4760,8.070
6/2/2025,01:40:00 pm,0,0.4747,8.089
6/2/2025,01:50:00 pm,0,0.4734,8.117
6/2/2025,02:00:00 pm,0,0.4720,8.150
6/2/2025,02:10:00 pm,0,0.4711,8.187
6/2/2025,02:20:00 pm,0,0.4718,8.222
6/2/2025,02:30:00 pm,0,0.4710,8.259
6/2/2025,02:40:00 pm,0,0.4718,8.299
6/2/2025,02:50:00 pm,0,0.4713,8.344
6/2/2025,03:00:00 pm,0,0.4693,8.385
6/2/2025,03:10:00 pm,0,0.4683,8.427
6/2/2025,03:20:00 pm,0,0.4680,8.465
6/2/2025,03:30:00 pm,0,0.4687,8.502
6/2/2025,03:40:00 pm,0,0.4672,8.539
6/2/2025,03:50:00 pm,0,0.4676,8.575
6/2/2025,04:00:00 pm,0,0.4673,8.612
6/2/2025,04:10:00 pm,0,0.4661,8.644
6/2/2025,04:20:00 pm,0,0.4650,8.680
6/2/2025,04:30:00 pm,0,0.4639,8.714
6/2/2025,04:40:00 pm,0,0.4638,8.748
6/2/2025,04:50:00 pm,0,0.4617,8.778
6/2/2025,05:00:00 pm,0,0.4616,8.805
6/2/2025,05:10:00 pm,0,0.4607,8.832
6/2/2025,05:20:00 pm,0,0.4594,8.856
6/2/2025,05:30:00 pm,0,0.4591,8.883
6/2/2025,05:40:00 pm,0,0.4575,8.907
6/2/2025,05:50:00 pm,0,0.4575,8.931
6/2/2025,06:00:00 pm,0,0.4565,8.952
6/2/2025,06:10:00 pm,0,0.4555,8.975
6/2/2025,06:20:00 pm,0,0.4550,8.998
6/2/2025,06:30:00 pm,0,0.4539,9.016
6/2/2025,06:40:00 pm,0,0.4528,9.031
6/2/2025,06:50:00 pm,0,0.4517,9.050
6/2/2025,07:00:00 pm,0,0.4518,9.063
6/2/2025,07:10:00 pm,0,0.4505,9.076
6/2/2025,07:20:00 pm,0,0.4497,9.088
6/2/2025,07:30:00 pm,0,0.4498,9.096
6/2/2025,07:40:00 pm,0,0.4486,9.107
6/2/2025,07:50:00 pm,0,0.4479,9.116
6/2/2025,08:00:00 pm,0,0.4467,9.124
6/2/2025,08:10:00 pm,0,0.4464,9.129
