Serial_number:
2195781
Project ID:
Zealand
Location:
Zealand12
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/2/2025,01:23:54 pm,0,0.4674,9.453
6/2/2025,03:23:54 pm,0,0.4674,9.448
6/2/2025,05:23:54 pm,0,0.4598,9.437
6/2/2025,07:23:54 pm,0,0.4492,9.241
6/2/2025,09:23:54 pm,0,0.4529,8.954
6/2/2025,11:23:54 pm,0,0.4501,8.807
6/3/2025,01:23:54 am,0,0.4479,8.695
6/3/2025,03:23:54 am,0,0.4446,8.593
6/3/2025,05:23:54 am,0,0.4354,8.505
6/3/2025,07:23:54 am,0,0.4315,8.518
6/3/2025,09:23:54 am,0,0.4311,8.766
6/3/2025,11:23:54 am,0,0.4274,9.053
6/3/2025,01:23:54 pm,0,0.4275,9.204
6/3/2025,03:23:54 pm,0,0.4327,9.451
6/3/2025,05:23:54 pm,0,0.4269,9.424
6/3/2025,07:23:54 pm,0,0.4200,9.248
6/3/2025,09:23:54 pm,0,0.4085,8.874
6/3/2025,11:23:54 pm,0,0.3986,8.746
6/4/2025,01:23:54 am,0,0.3988,8.686
6/4/2025,03:23:54 am,0,0.3990,8.646
6/4/2025,05:23:54 am,0,0.3929,8.637
6/4/2025,07:23:54 am,0,0.3998,8.712
6/4/2025,09:23:54 am,0,0.4002,8.871
6/4/2025,11:23:54 am,0,0.3999,9.092
6/4/2025,01:23:54 pm,0,0.4082,9.336
6/4/2025,03:23:54 pm,0,0.4084,9.549
6/4/2025,05:23:54 pm,0,0.4071,9.734
6/4/2025,07:23:54 pm,0,0.4008,9.449
6/4/2025,09:23:54 pm,0,0.3960,9.006
6/4/2025,11:23:54 pm,0,0.3952,8.930
6/5/2025,01:23:54 am,0,0.3955,8.883
6/5/2025,03:23:54 am,0,0.3997,8.869
6/5/2025,05:23:54 am,0,0.3990,8.866
6/5/2025,07:23:54 am,0,0.3951,8.930
