Serial_number:
2195778
Project ID:
Zealand
Location:
LL03_div_gw
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/2/2025,02:00:00 pm,0,0.6961,8.444
6/2/2025,04:00:00 pm,0,0.6935,8.442
6/2/2025,06:00:00 pm,0,0.6857,8.435
6/2/2025,08:00:00 pm,0,0.6791,8.429
6/2/2025,10:00:00 pm,0,0.6729,8.423
6/3/2025,12:00:00 am,0,0.6670,8.414
6/3/2025,02:00:00 am,0,0.6619,8.407
6/3/2025,04:00:00 am,0,0.6576,8.401
6/3/2025,06:00:00 am,0,0.6543,8.398
6/3/2025,08:00:00 am,0,0.6510,8.391
6/3/2025,10:00:00 am,0,0.6477,8.381
6/3/2025,12:00:00 pm,0,0.6434,8.374
6/3/2025,02:00:00 pm,0,0.6395,8.362
6/3/2025,04:00:00 pm,0,0.6359,8.351
6/3/2025,06:00:00 pm,0,0.6315,8.337
6/3/2025,08:00:00 pm,0,0.6283,8.326
6/3/2025,10:00:00 pm,0,0.6253,8.316
6/4/2025,12:00:00 am,0,0.6224,8.306
6/4/2025,02:00:00 am,0,0.6204,8.304
6/4/2025,04:00:00 am,0,0.6187,8.301
6/4/2025,06:00:00 am,0,0.6172,8.301
6/4/2025,08:00:00 am,0,0.6168,8.301
6/4/2025,10:00:00 am,0,0.6151,8.303
6/4/2025,12:00:00 pm,0,0.6130,8.302
6/4/2025,02:00:00 pm,0,0.6103,8.300
6/4/2025,04:00:00 pm,0,0.6077,8.297
6/4/2025,06:00:00 pm,0,0.6049,8.299
6/4/2025,08:00:00 pm,0,0.6023,8.297
6/4/2025,10:00:00 pm,0,0.6007,8.300
6/5/2025,12:00:00 am,0,0.5993,8.307
6/5/2025,02:00:00 am,0,0.5981,8.317
6/5/2025,04:00:00 am,0,0.5975,8.331
6/5/2025,06:00:00 am,0,0.5965,8.346
6/5/2025,08:00:00 am,0,0.5960,8.363
6/5/2025,10:00:00 am,0,0.5947,8.381
6/5/2025,12:00:00 pm,0,0.5369,8.634
6/5/2025,02:00:00 pm,0,0.5351,8.568
6/5/2025,04:00:00 pm,0,0.5314,8.571
6/5/2025,06:00:00 pm,0,0.5296,8.585
6/5/2025,08:00:00 pm,0,0.5272,8.594
6/5/2025,10:00:00 pm,0,0.5296,8.614
6/6/2025,12:00:00 am,0,0.5300,8.635
6/6/2025,02:00:00 am,0,0.5295,8.665
6/6/2025,04:00:00 am,0,0.5296,8.693
6/6/2025,06:00:00 am,0,0.5296,8.727
6/6/2025,08:00:00 am,0,0.5294,8.764
6/6/2025,10:00:00 am,0,0.5286,8.794
6/6/2025,12:00:00 pm,0,0.5283,8.824
6/6/2025,02:00:00 pm,0,0.5268,8.855
6/6/2025,04:00:00 pm,0,0.5286,8.885
6/6/2025,06:00:00 pm,0,0.5636,8.929
6/6/2025,08:00:00 pm,0,0.6333,9.018
6/6/2025,10:00:00 pm,0,0.6941,9.037
6/7/2025,12:00:00 am,0,0.7135,9.066
6/7/2025,02:00:00 am,0,0.7122,9.105
6/7/2025,04:00:00 am,0,0.6994,9.145
6/7/2025,06:00:00 am,0,0.6822,9.183
6/7/2025,08:00:00 am,0,0.6717,9.220
6/7/2025,10:00:00 am,0,0.6604,9.252
6/7/2025,12:00:00 pm,0,0.6713,9.292
6/7/2025,02:00:00 pm,0,0.6739,9.337
6/7/2025,04:00:00 pm,0,0.6869,9.372
6/7/2025,06:00:00 pm,0,0.6953,9.406
6/7/2025,08:00:00 pm,0,0.6933,9.443
6/7/2025,10:00:00 pm,0,0.6858,9.478
6/8/2025,12:00:00 am,0,0.6761,9.510
6/8/2025,02:00:00 am,0,0.6667,9.538
6/8/2025,04:00:00 am,0,0.6588,9.564
6/8/2025,06:00:00 am,0,0.6506,9.589
6/8/2025,08:00:00 am,0,0.6431,9.609
6/8/2025,10:00:00 am,0,0.6359,9.630
6/8/2025,12:00:00 pm,0,0.6287,9.650
6/8/2025,02:00:00 pm,0,0.6211,9.663
6/8/2025,04:00:00 pm,0,0.6142,9.674
6/8/2025,06:00:00 pm,0,0.6073,9.682
6/8/2025,08:00:00 pm,0,0.6001,9.690
6/8/2025,10:00:00 pm,0,0.5945,9.697
6/9/2025,12:00:00 am,0,0.5892,9.705
6/9/2025,02:00:00 am,0,0.5852,9.711
6/9/2025,04:00:00 am,0,0.5816,9.718
6/9/2025,06:00:00 am,0,0.5782,9.725
6/9/2025,08:00:00 am,0,0.5753,9.731
6/9/2025,10:00:00 am,0,0.5730,9.735
6/9/2025,12:00:00 pm,0,0.5703,9.735
6/9/2025,02:00:00 pm,0,0.5665,9.737
6/9/2025,04:00:00 pm,0,0.5630,9.730
6/9/2025,06:00:00 pm,0,0.5611,9.727
6/9/2025,08:00:00 pm,0,0.5575,9.724
6/9/2025,10:00:00 pm,0,0.5561,9.717
6/10/2025,12:00:00 am,0,0.5532,9.714
6/10/2025,02:00:00 am,0,0.5519,9.708
6/10/2025,04:00:00 am,0,0.5562,9.705
6/10/2025,06:00:00 am,0,0.5574,9.702
6/10/2025,08:00:00 am,0,0.5579,9.699
6/10/2025,10:00:00 am,0,0.5592,9.696
6/10/2025,12:00:00 pm,0,0.5569,9.692
6/10/2025,02:00:00 pm,0,0.5556,9.688
6/10/2025,04:00:00 pm,0,0.5545,9.686
6/10/2025,06:00:00 pm,0,0.5525,9.681
6/10/2025,08:00:00 pm,0,0.5517,9.678
6/10/2025,10:00:00 pm,0,0.5508,9.676
6/11/2025,12:00:00 am,0,0.5493,9.677
6/11/2025,02:00:00 am,0,0.5486,9.679
6/11/2025,04:00:00 am,0,0.5473,9.683
6/11/2025,06:00:00 am,0,0.5458,9.689
6/11/2025,08:00:00 am,0,0.5435,9.695
6/11/2025,10:00:00 am,0,0.5428,9.700
6/11/2025,12:00:00 pm,0,0.5398,9.701
6/11/2025,02:00:00 pm,0,0.5374,9.705
6/11/2025,04:00:00 pm,0,0.5346,9.703
6/11/2025,06:00:00 pm,0,0.5312,9.700
6/11/2025,08:00:00 pm,0,0.5293,9.698
6/11/2025,10:00:00 pm,0,0.5288,9.700
6/12/2025,12:00:00 am,0,0.5253,9.702
6/12/2025,02:00:00 am,0,0.5253,9.708
6/12/2025,04:00:00 am,0,0.5248,9.712
6/12/2025,06:00:00 am,0,0.5238,9.723
6/12/2025,08:00:00 am,0,0.5226,9.730
6/12/2025,10:00:00 am,0,0.5236,9.739
6/12/2025,12:00:00 pm,0,0.5192,9.747
6/12/2025,02:00:00 pm,0,0.5161,9.754
6/12/2025,04:00:00 pm,0,0.5149,9.762
6/12/2025,06:00:00 pm,0,0.5124,9.770
6/12/2025,08:00:00 pm,0,0.5109,9.781
6/12/2025,10:00:00 pm,0,0.5101,9.789
6/13/2025,12:00:00 am,0,0.5093,9.802
6/13/2025,02:00:00 am,0,0.5082,9.813
6/13/2025,04:00:00 am,0,0.5079,9.826
6/13/2025,06:00:00 am,0,0.5075,9.837
6/13/2025,08:00:00 am,0,0.5072,9.847
6/13/2025,10:00:00 am,0,0.5069,9.855
6/13/2025,12:00:00 pm,0,0.5063,9.861
6/13/2025,02:00:00 pm,0,0.5051,9.865
6/13/2025,04:00:00 pm,0,0.5036,9.867
6/13/2025,06:00:00 pm,0,0.5023,9.865
6/13/2025,08:00:00 pm,0,0.5009,9.864
6/13/2025,10:00:00 pm,0,0.5002,9.866
6/14/2025,12:00:00 am,0,0.4995,9.864
6/14/2025,02:00:00 am,0,0.5000,9.863
6/14/2025,04:00:00 am,0,0.5022,9.867
6/14/2025,06:00:00 am,0,0.5045,9.870
6/14/2025,08:00:00 am,0,0.5062,9.870
6/14/2025,10:00:00 am,0,0.5066,9.871
6/14/2025,12:00:00 pm,0,0.5060,9.871
6/14/2025,02:00:00 pm,0,0.5034,9.870
6/14/2025,04:00:00 pm,0,0.5014,9.866
6/14/2025,06:00:00 pm,0,0.4998,9.862
6/14/2025,08:00:00 pm,0,0.4979,9.858
6/14/2025,10:00:00 pm,0,0.4971,9.855
6/15/2025,12:00:00 am,0,0.4962,9.851
6/15/2025,02:00:00 am,0,0.4953,9.855
6/15/2025,04:00:00 am,0,0.4951,9.858
6/15/2025,06:00:00 am,0,0.4947,9.859
6/15/2025,08:00:00 am,0,0.4942,9.862
6/15/2025,10:00:00 am,0,0.4933,9.865
6/15/2025,12:00:00 pm,0,0.4923,9.865
6/15/2025,02:00:00 pm,0,0.4906,9.865
6/15/2025,04:00:00 pm,0,0.4874,9.863
6/15/2025,06:00:00 pm,0,0.4862,9.860
6/15/2025,08:00:00 pm,0,0.4850,9.855
6/15/2025,10:00:00 pm,0,0.4843,9.853
6/16/2025,12:00:00 am,0,0.4842,9.855
6/16/2025,02:00:00 am,0,0.4838,9.858
6/16/2025,04:00:00 am,0,0.4847,9.859
6/16/2025,06:00:00 am,0,0.4847,9.868
6/16/2025,08:00:00 am,0,0.4846,9.872
6/16/2025,10:00:00 am,0,0.4839,9.880
6/16/2025,12:00:00 pm,0,0.4832,9.884
6/16/2025,02:00:00 pm,0,0.4819,9.886
6/16/2025,04:00:00 pm,0,0.4806,9.886
6/16/2025,06:00:00 pm,0,0.4781,9.886
6/16/2025,08:00:00 pm,0,0.4763,9.885
6/16/2025,10:00:00 pm,0,0.4755,9.885
6/17/2025,12:00:00 am,0,0.4753,9.890
6/17/2025,02:00:00 am,0,0.4749,9.893
6/17/2025,04:00:00 am,0,0.4744,9.902
6/17/2025,06:00:00 am,0,0.4749,9.909
6/17/2025,08:00:00 am,0,0.4744,9.917
6/17/2025,10:00:00 am,0,0.4743,9.925
6/17/2025,12:00:00 pm,0,0.4751,9.930
6/17/2025,02:00:00 pm,0,0.4731,9.938
6/17/2025,04:00:00 pm,0,0.4730,9.941
6/17/2025,06:00:00 pm,0,0.4757,9.946
6/17/2025,08:00:00 pm,0,0.4827,9.952
6/17/2025,10:00:00 pm,0,0.4858,9.960
6/18/2025,12:00:00 am,0,0.4899,9.969
6/18/2025,02:00:00 am,0,0.4955,9.982
6/18/2025,04:00:00 am,0,0.5004,9.997
6/18/2025,06:00:00 am,0,0.5029,10.011
6/18/2025,08:00:00 am,0,0.5036,10.026
6/18/2025,10:00:00 am,0,0.5024,10.036
6/18/2025,12:00:00 pm,0,0.4997,10.049
6/18/2025,02:00:00 pm,0,0.4971,10.057
6/18/2025,04:00:00 pm,0,0.4937,10.068
6/18/2025,06:00:00 pm,0,0.4907,10.079
6/18/2025,08:00:00 pm,0,0.4877,10.090
6/18/2025,10:00:00 pm,0,0.4854,10.104
6/19/2025,12:00:00 am,0,0.4839,10.121
6/19/2025,02:00:00 am,0,0.4825,10.141
6/19/2025,04:00:00 am,0,0.4817,10.160
6/19/2025,06:00:00 am,0,0.4808,10.180
6/19/2025,08:00:00 am,0,0.4805,10.203
6/19/2025,10:00:00 am,0,0.4794,10.225
6/19/2025,12:00:00 pm,0,0.4772,10.244
6/19/2025,02:00:00 pm,0,0.4671,10.283
6/19/2025,04:00:00 pm,0,0.4660,10.289
6/19/2025,06:00:00 pm,0,0.4625,10.302
6/19/2025,08:00:00 pm,0,0.4658,10.321
6/19/2025,10:00:00 pm,0,0.4727,10.344
6/20/2025,12:00:00 am,0,0.5301,10.370
6/20/2025,02:00:00 am,0,0.5036,10.449
6/20/2025,04:00:00 am,0,0.5209,10.497
6/20/2025,06:00:00 am,0,0.5255,10.536
6/20/2025,08:00:00 am,0,0.5289,10.571
6/20/2025,10:00:00 am,0,0.5290,10.612
6/20/2025,12:00:00 pm,0,0.5267,10.648
6/20/2025,02:00:00 pm,0,0.5231,10.683
6/20/2025,04:00:00 pm,0,0.5198,10.716
6/20/2025,06:00:00 pm,0,0.5149,10.746
6/20/2025,08:00:00 pm,0,0.5120,10.776
6/20/2025,10:00:00 pm,0,0.5080,10.801
6/21/2025,12:00:00 am,0,0.5045,10.826
6/21/2025,02:00:00 am,0,0.5013,10.851
6/21/2025,04:00:00 am,0,0.4982,10.871
6/21/2025,06:00:00 am,0,0.4957,10.891
6/21/2025,08:00:00 am,0,0.4934,10.908
6/21/2025,10:00:00 am,0,0.4903,10.921
6/21/2025,12:00:00 pm,0,0.4868,10.934
6/21/2025,02:00:00 pm,0,0.4835,10.941
6/21/2025,04:00:00 pm,0,0.4800,10.947
6/21/2025,06:00:00 pm,0,0.4757,10.951
6/21/2025,08:00:00 pm,0,0.4726,10.952
6/21/2025,10:00:00 pm,0,0.4705,10.954
6/22/2025,12:00:00 am,0,0.4686,10.958
6/22/2025,02:00:00 am,0,0.4654,10.964
6/22/2025,04:00:00 am,0,0.4661,10.970
6/22/2025,06:00:00 am,0,0.4661,10.977
6/22/2025,08:00:00 am,0,0.4683,10.984
6/22/2025,10:00:00 am,0,0.4697,10.994
6/22/2025,12:00:00 pm,0,0.4691,11.002
6/22/2025,02:00:00 pm,0,0.4692,11.008
6/22/2025,04:00:00 pm,0,0.4681,11.016
6/22/2025,06:00:00 pm,0,0.4658,11.024
6/22/2025,08:00:00 pm,0,0.4648,11.031
6/22/2025,10:00:00 pm,0,0.4641,11.040
6/23/2025,12:00:00 am,0,0.4630,11.051
6/23/2025,02:00:00 am,0,0.4624,11.064
6/23/2025,04:00:00 am,0,0.4625,11.079
6/23/2025,06:00:00 am,0,0.4618,11.093
6/23/2025,08:00:00 am,0,0.4616,11.108
6/23/2025,10:00:00 am,0,0.4610,11.124
6/23/2025,12:00:00 pm,0,0.4602,11.136
6/23/2025,02:00:00 pm,0,0.4589,11.150
6/23/2025,04:00:00 pm,0,0.4565,11.160
6/23/2025,06:00:00 pm,0,0.4543,11.168
6/23/2025,08:00:00 pm,0,0.4527,11.178
6/23/2025,10:00:00 pm,0,0.4521,11.190
6/24/2025,12:00:00 am,0,0.4507,11.204
6/24/2025,02:00:00 am,0,0.4502,11.221
6/24/2025,04:00:00 am,0,0.4499,11.243
6/24/2025,06:00:00 am,0,0.4499,11.265
6/24/2025,08:00:00 am,0,0.4504,11.289
6/24/2025,10:00:00 am,0,0.4498,11.311
6/24/2025,12:00:00 pm,0,0.4475,11.331
6/24/2025,02:00:00 pm,0,0.4455,11.353
6/24/2025,04:00:00 pm,0,0.4427,11.371
6/24/2025,06:00:00 pm,0,0.4423,11.390
6/24/2025,08:00:00 pm,0,0.4498,11.417
6/24/2025,10:00:00 pm,0,0.4512,11.440
6/25/2025,12:00:00 am,0,0.4531,11.468
6/25/2025,02:00:00 am,0,0.4557,11.497
6/25/2025,04:00:00 am,0,0.4574,11.534
6/25/2025,06:00:00 am,0,0.4570,11.569
6/25/2025,08:00:00 am,0,0.4568,11.602
