Serial_number:
2179568
Project ID:
Zealand
Location:
LL04_lb_high_flow_gw
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/2/2025,02:00:00 pm,0,0.7185,6.665
6/2/2025,04:00:00 pm,0,0.7191,6.630
6/2/2025,06:00:00 pm,0,0.7128,6.612
6/2/2025,08:00:00 pm,0,0.7077,6.597
6/2/2025,10:00:00 pm,0,0.7028,6.583
6/3/2025,12:00:00 am,0,0.6984,6.571
6/3/2025,02:00:00 am,0,0.6940,6.555
6/3/2025,04:00:00 am,0,0.6889,6.542
6/3/2025,06:00:00 am,0,0.6835,6.526
6/3/2025,08:00:00 am,0,0.6781,6.516
6/3/2025,10:00:00 am,0,0.6726,6.501
6/3/2025,12:00:00 pm,0,0.6654,6.487
6/3/2025,02:00:00 pm,0,0.6583,6.474
6/3/2025,04:00:00 pm,0,0.6506,6.460
6/3/2025,06:00:00 pm,0,0.6432,6.447
6/3/2025,08:00:00 pm,0,0.6362,6.433
6/3/2025,10:00:00 pm,0,0.6302,6.420
6/4/2025,12:00:00 am,0,0.6250,6.409
6/4/2025,02:00:00 am,0,0.6203,6.398
6/4/2025,04:00:00 am,0,0.6160,6.389
6/4/2025,06:00:00 am,0,0.6107,6.380
6/4/2025,08:00:00 am,0,0.6079,6.376
6/4/2025,10:00:00 am,0,0.6043,6.373
6/4/2025,12:00:00 pm,0,0.5996,6.375
6/4/2025,02:00:00 pm,0,0.5933,6.378
6/4/2025,04:00:00 pm,0,0.5867,6.385
6/4/2025,06:00:00 pm,0,0.5784,6.395
6/4/2025,08:00:00 pm,0,0.5707,6.406
6/4/2025,10:00:00 pm,0,0.5641,6.420
6/5/2025,12:00:00 am,0,0.5577,6.441
6/5/2025,02:00:00 am,0,0.5516,6.463
6/5/2025,04:00:00 am,0,0.5454,6.493
6/5/2025,06:00:00 am,0,0.5376,6.526
6/5/2025,08:00:00 am,0,0.5311,6.559
6/5/2025,10:00:00 am,0,0.0383,13.955
6/5/2025,12:00:00 pm,0,0.5438,6.634
6/5/2025,02:00:00 pm,0,0.5318,6.629
6/5/2025,04:00:00 pm,0,0.5199,6.644
6/5/2025,06:00:00 pm,0,0.5093,6.663
6/5/2025,08:00:00 pm,0,0.4969,6.681
6/5/2025,10:00:00 pm,0,0.4914,6.701
6/6/2025,12:00:00 am,0,0.4830,6.722
6/6/2025,02:00:00 am,0,0.4757,6.747
6/6/2025,04:00:00 am,0,0.4676,6.774
6/6/2025,06:00:00 am,0,0.4609,6.803
6/6/2025,08:00:00 am,0,0.4539,6.832
6/6/2025,10:00:00 am,0,0.4466,6.861
6/6/2025,12:00:00 pm,0,0.4386,6.890
6/6/2025,02:00:00 pm,0,0.4318,6.919
6/6/2025,04:00:00 pm,0,0.4277,6.951
6/6/2025,06:00:00 pm,0,0.4408,6.982
6/6/2025,08:00:00 pm,0,0.5119,7.025
6/6/2025,10:00:00 pm,0,0.6328,7.052
6/7/2025,12:00:00 am,0,0.6863,7.056
6/7/2025,02:00:00 am,0,0.7194,7.051
6/7/2025,04:00:00 am,0,0.7384,7.046
6/7/2025,06:00:00 am,0,0.7494,7.040
6/7/2025,08:00:00 am,0,0.7575,7.033
6/7/2025,10:00:00 am,0,0.7639,7.031
6/7/2025,12:00:00 pm,0,0.7722,7.026
6/7/2025,02:00:00 pm,0,0.7859,7.022
6/7/2025,04:00:00 pm,0,0.7953,7.015
6/7/2025,06:00:00 pm,0,0.7980,7.009
6/7/2025,08:00:00 pm,0,0.7961,7.005
6/7/2025,10:00:00 pm,0,0.7910,7.000
6/8/2025,12:00:00 am,0,0.7875,6.995
6/8/2025,02:00:00 am,0,0.7819,6.989
6/8/2025,04:00:00 am,0,0.7761,6.986
6/8/2025,06:00:00 am,0,0.7682,6.980
6/8/2025,08:00:00 am,0,0.7621,6.973
6/8/2025,10:00:00 am,0,0.7552,6.964
6/8/2025,12:00:00 pm,0,0.7507,6.953
6/8/2025,02:00:00 pm,0,0.7445,6.942
6/8/2025,04:00:00 pm,0,0.7382,6.932
6/8/2025,06:00:00 pm,0,0.7331,6.920
6/8/2025,08:00:00 pm,0,0.7265,6.905
6/8/2025,10:00:00 pm,0,0.7202,6.893
6/9/2025,12:00:00 am,0,0.7139,6.878
6/9/2025,02:00:00 am,0,0.7070,6.860
6/9/2025,04:00:00 am,0,0.7007,6.844
6/9/2025,06:00:00 am,0,0.6933,6.831
6/9/2025,08:00:00 am,0,0.6863,6.815
6/9/2025,10:00:00 am,0,0.6805,6.798
6/9/2025,12:00:00 pm,0,0.6729,6.782
6/9/2025,02:00:00 pm,0,0.6646,6.766
6/9/2025,04:00:00 pm,0,0.6549,6.753
6/9/2025,06:00:00 pm,0,0.6412,6.737
6/9/2025,08:00:00 pm,0,0.6396,6.722
6/9/2025,10:00:00 pm,0,0.6351,6.708
6/10/2025,12:00:00 am,0,0.6246,6.696
6/10/2025,02:00:00 am,0,0.6235,6.690
6/10/2025,04:00:00 am,0,0.6233,6.685
6/10/2025,06:00:00 am,0,0.6187,6.686
6/10/2025,08:00:00 am,0,0.6131,6.693
6/10/2025,10:00:00 am,0,0.6096,6.698
6/10/2025,12:00:00 pm,0,0.6032,6.709
6/10/2025,02:00:00 pm,0,0.5980,6.717
6/10/2025,04:00:00 pm,0,0.5940,6.729
6/10/2025,06:00:00 pm,0,0.5859,6.741
6/10/2025,08:00:00 pm,0,0.5788,6.757
6/10/2025,10:00:00 pm,0,0.5726,6.773
6/11/2025,12:00:00 am,0,0.5651,6.793
6/11/2025,02:00:00 am,0,0.5585,6.813
6/11/2025,04:00:00 am,0,0.5522,6.832
6/11/2025,06:00:00 am,0,0.5453,6.854
6/11/2025,08:00:00 am,0,0.5378,6.875
6/11/2025,10:00:00 am,0,0.5308,6.890
6/11/2025,12:00:00 pm,0,0.5215,6.907
6/11/2025,02:00:00 pm,0,0.5107,6.925
6/11/2025,04:00:00 pm,0,0.4999,6.941
6/11/2025,06:00:00 pm,0,0.4893,6.956
6/11/2025,08:00:00 pm,0,0.4807,6.970
6/11/2025,10:00:00 pm,0,0.4726,6.985
6/12/2025,12:00:00 am,0,0.4636,7.000
6/12/2025,02:00:00 am,0,0.4564,7.018
6/12/2025,04:00:00 am,0,0.4492,7.037
6/12/2025,06:00:00 am,0,0.4409,7.058
6/12/2025,08:00:00 am,0,0.4336,7.079
6/12/2025,10:00:00 am,0,0.4264,7.101
6/12/2025,12:00:00 pm,0,0.4169,7.123
6/12/2025,02:00:00 pm,0,0.4073,7.143
6/12/2025,04:00:00 pm,0,0.3995,7.165
6/12/2025,06:00:00 pm,0,0.3925,7.185
6/12/2025,08:00:00 pm,0,0.3866,7.203
6/12/2025,10:00:00 pm,0,0.3817,7.223
6/13/2025,12:00:00 am,0,0.3765,7.245
6/13/2025,02:00:00 am,0,0.3715,7.265
6/13/2025,04:00:00 am,0,0.3662,7.287
6/13/2025,06:00:00 am,0,0.3605,7.313
6/13/2025,08:00:00 am,0,0.3556,7.337
6/13/2025,10:00:00 am,0,0.3502,7.362
6/13/2025,12:00:00 pm,0,0.3445,7.389
6/13/2025,02:00:00 pm,0,0.3346,7.411
6/13/2025,04:00:00 pm,0,0.3326,7.432
6/13/2025,06:00:00 pm,0,0.3272,7.450
6/13/2025,08:00:00 pm,0,0.3217,7.471
6/13/2025,10:00:00 pm,0,0.3121,7.488
6/14/2025,12:00:00 am,0,0.3129,7.503
6/14/2025,02:00:00 am,0,0.3088,7.517
6/14/2025,04:00:00 am,0,0.3056,7.535
6/14/2025,06:00:00 am,0,0.3012,7.551
6/14/2025,08:00:00 am,0,0.2974,7.569
6/14/2025,10:00:00 am,0,0.2934,7.582
6/14/2025,12:00:00 pm,0,0.2884,7.596
6/14/2025,02:00:00 pm,0,0.2827,7.610
6/14/2025,04:00:00 pm,0,0.2779,7.622
6/14/2025,06:00:00 pm,0,0.2731,7.637
6/14/2025,08:00:00 pm,0,0.2680,7.649
6/14/2025,10:00:00 pm,0,0.2626,7.659
6/15/2025,12:00:00 am,0,0.2602,7.671
6/15/2025,02:00:00 am,0,0.2560,7.682
6/15/2025,04:00:00 am,0,0.2507,7.694
6/15/2025,06:00:00 am,0,0.2479,7.706
6/15/2025,08:00:00 am,0,0.2438,7.719
6/15/2025,10:00:00 am,0,0.2292,7.733
6/15/2025,12:00:00 pm,0,0.2337,7.745
6/15/2025,02:00:00 pm,0,0.2282,7.758
6/15/2025,04:00:00 pm,0,0.2228,7.771
6/15/2025,06:00:00 pm,0,0.2182,7.786
6/15/2025,08:00:00 pm,0,0.2136,7.798
6/15/2025,10:00:00 pm,0,0.2093,7.809
6/16/2025,12:00:00 am,0,0.2051,7.821
6/16/2025,02:00:00 am,0,0.2012,7.832
6/16/2025,04:00:00 am,0,0.1970,7.843
6/16/2025,06:00:00 am,0,0.1927,7.858
6/16/2025,08:00:00 am,0,0.1888,7.868
6/16/2025,10:00:00 am,0,0.1838,7.884
6/16/2025,12:00:00 pm,0,0.1761,7.898
6/16/2025,02:00:00 pm,0,0.1739,7.914
6/16/2025,04:00:00 pm,0,0.1702,7.928
6/16/2025,06:00:00 pm,0,0.1677,7.944
6/16/2025,08:00:00 pm,0,0.1662,7.957
6/16/2025,10:00:00 pm,0,0.1658,7.969
6/17/2025,12:00:00 am,0,0.1655,7.982
6/17/2025,02:00:00 am,0,0.1658,7.998
6/17/2025,04:00:00 am,0,0.1647,8.011
6/17/2025,06:00:00 am,0,0.1652,8.026
6/17/2025,08:00:00 am,0,0.1640,8.041
6/17/2025,10:00:00 am,0,0.1634,8.055
6/17/2025,12:00:00 pm,0,0.1639,8.071
6/17/2025,02:00:00 pm,0,0.1625,8.087
6/17/2025,04:00:00 pm,0,0.1617,8.105
6/17/2025,06:00:00 pm,0,0.1616,8.121
6/17/2025,08:00:00 pm,0,0.1607,8.139
6/17/2025,10:00:00 pm,0,0.1599,8.160
6/18/2025,12:00:00 am,0,0.1604,8.182
6/18/2025,02:00:00 am,0,0.1597,8.198
6/18/2025,04:00:00 am,0,0.1604,8.218
6/18/2025,06:00:00 am,0,0.1563,8.234
6/18/2025,08:00:00 am,0,0.1591,8.250
6/18/2025,10:00:00 am,0,0.1579,8.269
6/18/2025,12:00:00 pm,0,0.1574,8.284
6/18/2025,02:00:00 pm,0,0.1581,8.304
6/18/2025,04:00:00 pm,0,0.1567,8.319
6/18/2025,06:00:00 pm,0,0.1567,8.337
6/18/2025,08:00:00 pm,0,0.1534,8.352
6/18/2025,10:00:00 pm,0,0.1538,8.372
6/19/2025,12:00:00 am,0,0.1541,8.388
6/19/2025,02:00:00 am,0,0.1527,8.408
6/19/2025,04:00:00 am,0,0.1535,8.425
6/19/2025,06:00:00 am,0,0.1519,8.447
6/19/2025,08:00:00 am,0,0.1524,8.470
6/19/2025,10:00:00 am,0,0.1519,8.493
6/19/2025,12:00:00 pm,0,0.1508,8.515
6/19/2025,02:00:00 pm,0,0.1493,8.542
6/19/2025,04:00:00 pm,0,0.1495,8.564
6/19/2025,06:00:00 pm,0,0.1475,8.588
6/19/2025,08:00:00 pm,0,0.1472,8.613
6/19/2025,10:00:00 pm,0,0.1469,8.638
6/20/2025,12:00:00 am,0,0.1414,8.671
6/20/2025,02:00:00 am,0,0.1464,8.725
6/20/2025,04:00:00 am,0,0.1459,8.775
6/20/2025,06:00:00 am,0,0.1459,8.825
6/20/2025,08:00:00 am,0,0.1458,8.865
6/20/2025,10:00:00 am,0,0.1449,8.902
6/20/2025,12:00:00 pm,0,0.1468,8.935
6/20/2025,02:00:00 pm,0,0.1451,8.967
6/20/2025,04:00:00 pm,0,0.1445,8.999
6/20/2025,06:00:00 pm,0,0.1436,9.028
6/20/2025,08:00:00 pm,0,0.1437,9.054
6/20/2025,10:00:00 pm,0,0.1417,9.082
6/21/2025,12:00:00 am,0,0.1426,9.107
6/21/2025,02:00:00 am,0,0.1425,9.127
6/21/2025,04:00:00 am,0,0.1441,9.147
6/21/2025,06:00:00 am,0,0.1421,9.165
6/21/2025,08:00:00 am,0,0.1440,9.182
6/21/2025,10:00:00 am,0,0.1422,9.199
6/21/2025,12:00:00 pm,0,0.1416,9.210
6/21/2025,02:00:00 pm,0,0.1415,9.222
6/21/2025,04:00:00 pm,0,0.1415,9.225
6/21/2025,06:00:00 pm,0,0.1404,9.231
6/21/2025,08:00:00 pm,0,0.1394,9.238
6/21/2025,10:00:00 pm,0,0.1392,9.238
6/22/2025,12:00:00 am,0,0.1385,9.241
6/22/2025,02:00:00 am,0,0.1371,9.242
6/22/2025,04:00:00 am,0,0.1399,9.244
