Serial_number:
2195770
Project ID:
Zealand
Location:
LL08_lb_gw
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/2/2025,02:00:00 pm,0,0.6934,8.781
6/2/2025,04:00:00 pm,0,0.6902,8.748
6/2/2025,06:00:00 pm,0,0.6791,8.719
6/2/2025,08:00:00 pm,0,0.6673,8.693
6/2/2025,10:00:00 pm,0,0.6560,8.671
6/3/2025,12:00:00 am,0,0.6463,8.649
6/3/2025,02:00:00 am,0,0.6375,8.625
6/3/2025,04:00:00 am,0,0.6306,8.603
6/3/2025,06:00:00 am,0,0.6250,8.582
6/3/2025,08:00:00 am,0,0.6194,8.564
6/3/2025,10:00:00 am,0,0.6145,8.550
6/3/2025,12:00:00 pm,0,0.6094,8.541
6/3/2025,02:00:00 pm,0,0.6060,8.536
6/3/2025,04:00:00 pm,0,0.6010,8.535
6/3/2025,06:00:00 pm,0,0.5971,8.538
6/3/2025,08:00:00 pm,0,0.5931,8.543
6/3/2025,10:00:00 pm,0,0.5904,8.546
6/4/2025,12:00:00 am,0,0.5870,8.552
6/4/2025,02:00:00 am,0,0.5832,8.557
6/4/2025,04:00:00 am,0,0.5804,8.560
6/4/2025,06:00:00 am,0,0.5775,8.563
6/4/2025,08:00:00 am,0,0.5765,8.563
6/4/2025,10:00:00 am,0,0.5745,8.566
6/4/2025,12:00:00 pm,0,0.5708,8.567
6/4/2025,02:00:00 pm,0,0.5674,8.577
6/4/2025,04:00:00 pm,0,0.5647,8.585
6/4/2025,06:00:00 pm,0,0.5621,8.600
6/4/2025,08:00:00 pm,0,0.5599,8.612
6/4/2025,10:00:00 pm,0,0.5594,8.631
6/5/2025,12:00:00 am,0,0.5582,8.647
6/5/2025,02:00:00 am,0,0.5571,8.668
6/5/2025,04:00:00 am,0,0.5565,8.687
6/5/2025,06:00:00 am,0,0.5556,8.707
6/5/2025,08:00:00 am,0,0.5551,8.727
6/5/2025,10:00:00 am,0,0.5530,8.749
6/5/2025,12:00:00 pm,0,0.5419,8.895
6/5/2025,02:00:00 pm,0,0.5449,8.806
6/5/2025,04:00:00 pm,0,0.5463,8.832
6/5/2025,06:00:00 pm,0,0.5461,8.859
6/5/2025,08:00:00 pm,0,0.5399,8.892
6/5/2025,10:00:00 pm,0,0.5415,8.926
6/6/2025,12:00:00 am,0,0.5431,8.963
6/6/2025,02:00:00 am,0,0.5447,8.998
