Serial_number:
2195833
Project ID:
Zealand
Location:
LL02_high_flow_diversion_gw_at_0
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/4/2025,04:00:00 pm,0,0.7601,8.658
6/4/2025,06:00:00 pm,0,0.7488,8.642
6/4/2025,08:00:00 pm,0,0.7374,8.644
6/4/2025,10:00:00 pm,0,0.7269,8.649
6/5/2025,12:00:00 am,0,0.7173,8.657
6/5/2025,02:00:00 am,0,0.7084,8.662
6/5/2025,04:00:00 am,0,0.7001,8.673
6/5/2025,06:00:00 am,0,0.6931,8.685
6/5/2025,08:00:00 am,0,0.6879,8.695
6/5/2025,10:00:00 am,0,0.6835,8.708
6/5/2025,12:00:00 pm,0,0.6513,8.778
6/5/2025,02:00:00 pm,0,0.6472,8.756
6/5/2025,04:00:00 pm,0,0.6381,8.756
6/5/2025,06:00:00 pm,0,0.6284,8.764
6/5/2025,08:00:00 pm,0,0.6149,8.773
6/5/2025,10:00:00 pm,0,0.6070,8.782
6/6/2025,12:00:00 am,0,0.5961,8.787
6/6/2025,02:00:00 am,0,0.5856,8.797
6/6/2025,04:00:00 am,0,0.5748,8.807
6/6/2025,06:00:00 am,0,0.5662,8.820
6/6/2025,08:00:00 am,0,0.5573,8.829
6/6/2025,10:00:00 am,0,0.5497,8.842
6/6/2025,12:00:00 pm,0,0.5433,8.848
6/6/2025,02:00:00 pm,0,0.5367,8.857
6/6/2025,04:00:00 pm,0,0.5321,8.866
6/6/2025,06:00:00 pm,0,0.5284,8.878
6/6/2025,08:00:00 pm,0,0.6545,8.904
6/6/2025,10:00:00 pm,0,0.7726,8.973
6/7/2025,12:00:00 am,0,0.8477,9.362
6/7/2025,02:00:00 am,0,0.8688,9.599
6/7/2025,04:00:00 am,0,0.8717,9.717
6/7/2025,06:00:00 am,0,0.8675,9.808
6/7/2025,08:00:00 am,0,0.8677,9.887
6/7/2025,10:00:00 am,0,0.8670,9.929
6/7/2025,12:00:00 pm,0,0.8751,9.933
6/7/2025,02:00:00 pm,0,0.8976,9.918
6/7/2025,04:00:00 pm,0,0.9235,9.821
6/7/2025,06:00:00 pm,0,0.9400,9.824
6/7/2025,08:00:00 pm,0,0.9383,9.919
6/7/2025,10:00:00 pm,0,0.9279,10.025
6/8/2025,12:00:00 am,0,0.9164,10.089
6/8/2025,02:00:00 am,0,0.9044,10.096
6/8/2025,04:00:00 am,0,0.8932,10.048
6/8/2025,06:00:00 am,0,0.8819,9.947
6/8/2025,08:00:00 am,0,0.8729,9.838
6/8/2025,10:00:00 am,0,0.8642,9.791
6/8/2025,12:00:00 pm,0,0.8567,9.850
6/8/2025,02:00:00 pm,0,0.8472,9.918
6/8/2025,04:00:00 pm,0,0.8390,9.962
6/8/2025,06:00:00 pm,0,0.8307,9.956
6/8/2025,08:00:00 pm,0,0.8220,9.911
6/8/2025,10:00:00 pm,0,0.8138,9.821
6/9/2025,12:00:00 am,0,0.8073,9.700
6/9/2025,02:00:00 am,0,0.8013,9.580
6/9/2025,04:00:00 am,0,0.7957,9.462
6/9/2025,06:00:00 am,0,0.7903,9.374
6/9/2025,08:00:00 am,0,0.7859,9.323
6/9/2025,10:00:00 am,0,0.7825,9.298
6/9/2025,12:00:00 pm,0,0.7775,9.290
6/9/2025,02:00:00 pm,0,0.7723,9.291
6/9/2025,04:00:00 pm,0,0.7661,9.298
6/9/2025,06:00:00 pm,0,0.7621,9.308
6/9/2025,08:00:00 pm,0,0.7553,9.319
6/9/2025,10:00:00 pm,0,0.7512,9.329
6/10/2025,12:00:00 am,0,0.7446,9.343
6/10/2025,02:00:00 am,0,0.7402,9.355
6/10/2025,04:00:00 am,0,0.7395,9.369
6/10/2025,06:00:00 am,0,0.7372,9.383
6/10/2025,08:00:00 am,0,0.7336,9.398
6/10/2025,10:00:00 am,0,0.7322,9.415
6/10/2025,12:00:00 pm,0,0.7289,9.428
6/10/2025,02:00:00 pm,0,0.7253,9.441
6/10/2025,04:00:00 pm,0,0.7231,9.454
6/10/2025,06:00:00 pm,0,0.7179,9.466
6/10/2025,08:00:00 pm,0,0.7134,9.476
6/10/2025,10:00:00 pm,0,0.7091,9.486
6/11/2025,12:00:00 am,0,0.7047,9.498
6/11/2025,02:00:00 am,0,0.7008,9.510
6/11/2025,04:00:00 am,0,0.6975,9.523
6/11/2025,06:00:00 am,0,0.6931,9.535
6/11/2025,08:00:00 am,0,0.6885,9.548
6/11/2025,10:00:00 am,0,0.6848,9.560
6/11/2025,12:00:00 pm,0,0.6776,9.572
6/11/2025,02:00:00 pm,0,0.6679,9.586
6/11/2025,04:00:00 pm,0,0.6582,9.592
6/11/2025,06:00:00 pm,0,0.6462,9.601
6/11/2025,08:00:00 pm,0,0.6331,9.607
6/11/2025,10:00:00 pm,0,0.6211,9.614
6/12/2025,12:00:00 am,0,0.6076,9.622
6/12/2025,02:00:00 am,0,0.5954,9.628
6/12/2025,04:00:00 am,0,0.5833,9.635
6/12/2025,06:00:00 am,0,0.5706,9.641
6/12/2025,08:00:00 am,0,0.5564,9.649
6/12/2025,10:00:00 am,0,0.5496,9.653
6/12/2025,12:00:00 pm,0,0.5364,9.659
6/12/2025,02:00:00 pm,0,0.5237,9.663
6/12/2025,04:00:00 pm,0,0.5120,9.670
6/12/2025,06:00:00 pm,0,0.5002,9.676
6/12/2025,08:00:00 pm,0,0.4877,9.680
6/12/2025,10:00:00 pm,0,0.4759,9.684
6/13/2025,12:00:00 am,0,0.4637,9.689
6/13/2025,02:00:00 am,0,0.4502,9.695
6/13/2025,04:00:00 am,0,0.4371,9.701
6/13/2025,06:00:00 am,0,0.4245,9.705
6/13/2025,08:00:00 am,0,0.4127,9.712
6/13/2025,10:00:00 am,0,0.4007,9.720
6/13/2025,12:00:00 pm,0,0.3898,9.732
6/13/2025,02:00:00 pm,0,0.3785,9.740
6/13/2025,04:00:00 pm,0,0.3663,9.752
6/13/2025,06:00:00 pm,0,0.3551,9.764
6/13/2025,08:00:00 pm,0,0.3438,9.779
6/13/2025,10:00:00 pm,0,0.3330,9.793
6/14/2025,12:00:00 am,0,0.3230,9.808
6/14/2025,02:00:00 am,0,0.3117,9.828
6/14/2025,04:00:00 am,0,0.3019,9.846
6/14/2025,06:00:00 am,0,0.2918,9.861
6/14/2025,08:00:00 am,0,0.2846,9.878
6/14/2025,10:00:00 am,0,0.2782,9.894
6/14/2025,12:00:00 pm,0,0.2730,9.905
6/14/2025,02:00:00 pm,0,0.2680,9.918
6/14/2025,04:00:00 pm,0,0.2639,9.931
6/14/2025,06:00:00 pm,0,0.2586,9.940
6/14/2025,08:00:00 pm,0,0.2528,9.949
6/14/2025,10:00:00 pm,0,0.2476,9.957
6/15/2025,12:00:00 am,0,0.2416,9.962
6/15/2025,02:00:00 am,0,0.2355,9.965
6/15/2025,04:00:00 am,0,0.2294,9.968
6/15/2025,06:00:00 am,0,0.2239,9.971
6/15/2025,08:00:00 am,0,0.2182,9.973
6/15/2025,10:00:00 am,0,0.2123,9.973
6/15/2025,12:00:00 pm,0,0.2069,9.981
6/15/2025,02:00:00 pm,0,0.2005,9.985
6/15/2025,04:00:00 pm,0,0.1935,9.992
6/15/2025,06:00:00 pm,0,0.1870,9.998
6/15/2025,08:00:00 pm,0,0.1793,10.001
6/15/2025,10:00:00 pm,0,0.1716,10.007
6/16/2025,12:00:00 am,0,0.1640,10.012
6/16/2025,02:00:00 am,0,0.1553,10.018
6/16/2025,04:00:00 am,0,0.1473,10.023
6/16/2025,06:00:00 am,0,0.1398,10.027
6/16/2025,08:00:00 am,0,0.1324,10.030
6/16/2025,10:00:00 am,0,0.1242,10.034
6/16/2025,12:00:00 pm,0,0.1176,10.036
6/16/2025,02:00:00 pm,0,0.1134,10.036
6/16/2025,04:00:00 pm,0,0.1107,10.036
6/16/2025,06:00:00 pm,0,0.1046,10.035
6/16/2025,08:00:00 pm,0,0.1014,10.034
6/16/2025,10:00:00 pm,0,0.0995,10.032
