Serial_number:
2195778
Project ID:
Zealand
Location:
LL03_div_gw
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/22/2025,06:00:00 pm,0,0.2990,14.856
8/22/2025,08:00:00 pm,0,0.2994,14.828
8/22/2025,10:00:00 pm,0,0.2998,14.815
8/23/2025,12:00:00 am,0,0.2994,14.806
8/23/2025,02:00:00 am,0,0.3002,14.800
8/23/2025,04:00:00 am,0,0.3010,14.796
8/23/2025,06:00:00 am,0,0.3025,14.791
8/23/2025,08:00:00 am,0,0.3035,14.786
8/23/2025,10:00:00 am,0,0.3036,14.780
8/23/2025,12:00:00 pm,0,0.3015,14.772
8/23/2025,02:00:00 pm,0,0.2994,14.764
8/23/2025,04:00:00 pm,0,0.2975,14.755
8/23/2025,06:00:00 pm,0,0.2962,14.747
8/23/2025,08:00:00 pm,0,0.2952,14.742
8/23/2025,10:00:00 pm,0,0.2944,14.737
8/24/2025,12:00:00 am,0,0.2936,14.734
8/24/2025,02:00:00 am,0,0.2938,14.733
8/24/2025,04:00:00 am,0,0.2945,14.734
8/24/2025,06:00:00 am,0,0.2954,14.738
8/24/2025,08:00:00 am,0,0.2959,14.740
8/24/2025,10:00:00 am,0,0.2955,14.742
8/24/2025,12:00:00 pm,0,0.2938,14.744
8/24/2025,02:00:00 pm,0,0.2931,14.745
8/24/2025,04:00:00 pm,0,0.2926,14.743
8/24/2025,06:00:00 pm,0,0.2914,14.747
8/24/2025,08:00:00 pm,0,0.2909,14.746
8/24/2025,10:00:00 pm,0,0.2920,14.751
8/25/2025,12:00:00 am,0,0.2928,14.752
8/25/2025,02:00:00 am,0,0.2944,14.758
8/25/2025,04:00:00 am,0,0.2956,14.761
8/25/2025,06:00:00 am,0,0.2969,14.768
8/25/2025,08:00:00 am,0,0.2973,14.775
8/25/2025,10:00:00 am,0,0.2979,14.777
8/25/2025,12:00:00 pm,0,0.2964,14.781
8/25/2025,02:00:00 pm,0,0.3008,14.784
8/25/2025,04:00:00 pm,0,0.3042,14.790
8/25/2025,06:00:00 pm,0,0.3026,14.797
8/25/2025,08:00:00 pm,0,0.3041,14.799
8/25/2025,10:00:00 pm,0,0.3059,14.807
8/26/2025,12:00:00 am,0,0.3081,14.815
8/26/2025,02:00:00 am,0,0.3095,14.822
8/26/2025,04:00:00 am,0,0.3098,14.831
8/26/2025,06:00:00 am,0,0.3100,14.839
8/26/2025,08:00:00 am,0,0.3106,14.846
8/26/2025,10:00:00 am,0,0.3106,14.854
8/26/2025,12:00:00 pm,0,0.3080,14.857
8/26/2025,02:00:00 pm,0,0.3060,14.859
8/26/2025,04:00:00 pm,0,0.3042,14.858
8/26/2025,06:00:00 pm,0,0.3025,14.861
8/26/2025,08:00:00 pm,0,0.3015,14.861
8/26/2025,10:00:00 pm,0,0.3011,14.861
8/27/2025,12:00:00 am,0,0.3011,14.861
8/27/2025,02:00:00 am,0,0.3011,14.860
8/27/2025,04:00:00 am,0,0.3019,14.860
8/27/2025,06:00:00 am,0,0.3023,14.859
8/27/2025,08:00:00 am,0,0.3028,14.857
8/27/2025,10:00:00 am,0,0.3031,14.853
8/27/2025,12:00:00 pm,0,0.3025,14.849
8/27/2025,02:00:00 pm,0,0.3019,14.843
8/27/2025,04:00:00 pm,0,0.3018,14.836
8/27/2025,06:00:00 pm,0,0.3012,14.829
8/27/2025,08:00:00 pm,0,0.3009,14.821
8/27/2025,10:00:00 pm,0,0.3010,14.814
8/28/2025,12:00:00 am,0,0.3005,14.806
8/28/2025,02:00:00 am,0,0.3020,14.799
8/28/2025,04:00:00 am,0,0.3021,14.793
8/28/2025,06:00:00 am,0,0.3023,14.783
8/28/2025,08:00:00 am,0,0.3028,14.774
8/28/2025,10:00:00 am,0,0.3034,14.764
8/28/2025,12:00:00 pm,0,0.3026,14.749
8/28/2025,02:00:00 pm,0,0.2994,14.735
8/28/2025,04:00:00 pm,0,0.2951,14.718
8/28/2025,06:00:00 pm,0,0.2931,14.701
8/28/2025,08:00:00 pm,0,0.2923,14.685
8/28/2025,10:00:00 pm,0,0.2909,14.672
8/29/2025,12:00:00 am,0,0.2911,14.659
8/29/2025,02:00:00 am,0,0.2899,14.647
8/29/2025,04:00:00 am,0,0.2914,14.636
8/29/2025,06:00:00 am,0,0.2913,14.627
8/29/2025,08:00:00 am,0,0.2915,14.617
8/29/2025,10:00:00 am,0,0.2921,14.606
8/29/2025,12:00:00 pm,0,0.2924,14.594
8/29/2025,02:00:00 pm,0,0.2947,14.580
8/29/2025,04:00:00 pm,0,0.2930,14.567
8/29/2025,06:00:00 pm,0,0.2933,14.552
8/29/2025,08:00:00 pm,0,0.2947,14.541
8/29/2025,10:00:00 pm,0,0.2953,14.529
8/30/2025,12:00:00 am,0,0.2955,14.519
8/30/2025,02:00:00 am,0,0.2973,14.509
8/30/2025,04:00:00 am,0,0.2978,14.497
8/30/2025,06:00:00 am,0,0.2991,14.487
8/30/2025,08:00:00 am,0,0.2998,14.476
8/30/2025,10:00:00 am,0,0.3009,14.464
8/30/2025,12:00:00 pm,0,0.3014,14.451
8/30/2025,02:00:00 pm,0,0.3037,14.438
8/30/2025,04:00:00 pm,0,0.3063,14.424
8/30/2025,06:00:00 pm,0,0.3077,14.411
8/30/2025,08:00:00 pm,0,0.3083,14.397
8/30/2025,10:00:00 pm,0,0.3123,14.382
8/31/2025,12:00:00 am,0,0.3151,14.368
8/31/2025,02:00:00 am,0,0.3174,14.353
8/31/2025,04:00:00 am,0,0.3192,14.342
8/31/2025,06:00:00 am,0,0.3204,14.327
8/31/2025,08:00:00 am,0,0.3206,14.314
8/31/2025,10:00:00 am,0,0.3207,14.297
8/31/2025,12:00:00 pm,0,0.3186,14.282
8/31/2025,02:00:00 pm,0,0.3164,14.266
8/31/2025,04:00:00 pm,0,0.3127,14.252
8/31/2025,06:00:00 pm,0,0.3105,14.233
8/31/2025,08:00:00 pm,0,0.3093,14.217
8/31/2025,10:00:00 pm,0,0.3078,14.205
9/1/2025,12:00:00 am,0,0.3066,14.192
9/1/2025,02:00:00 am,0,0.3061,14.179
9/1/2025,04:00:00 am,0,0.3056,14.167
9/1/2025,06:00:00 am,0,0.3054,14.159
9/1/2025,08:00:00 am,0,0.3053,14.149
9/1/2025,10:00:00 am,0,0.3053,14.134
9/1/2025,12:00:00 pm,0,0.3024,14.121
9/1/2025,02:00:00 pm,0,0.2993,14.107
9/1/2025,04:00:00 pm,0,0.2976,14.092
9/1/2025,06:00:00 pm,0,0.2960,14.079
9/1/2025,08:00:00 pm,0,0.2954,14.064
9/1/2025,10:00:00 pm,0,0.2948,14.057
9/2/2025,12:00:00 am,0,0.2944,14.047
9/2/2025,02:00:00 am,0,0.2943,14.039
9/2/2025,04:00:00 am,0,0.2946,14.037
9/2/2025,06:00:00 am,0,0.2952,14.031
9/2/2025,08:00:00 am,0,0.2956,14.026
9/2/2025,10:00:00 am,0,0.2952,14.023
9/2/2025,12:00:00 pm,0,0.2934,14.014
9/2/2025,02:00:00 pm,0,0.2917,14.008
9/2/2025,04:00:00 pm,0,0.2903,14.002
9/2/2025,06:00:00 pm,0,0.2895,13.996
9/2/2025,08:00:00 pm,0,0.2889,13.990
9/2/2025,10:00:00 pm,0,0.2890,13.986
9/3/2025,12:00:00 am,0,0.2887,13.982
9/3/2025,02:00:00 am,0,0.2885,13.984
9/3/2025,04:00:00 am,0,0.2895,13.985
9/3/2025,06:00:00 am,0,0.2900,13.986
9/3/2025,08:00:00 am,0,0.2907,13.985
9/3/2025,10:00:00 am,0,0.2906,13.985
9/3/2025,12:00:00 pm,0,0.2888,13.982
9/3/2025,02:00:00 pm,0,0.2872,13.978
9/3/2025,04:00:00 pm,0,0.2862,13.974
9/3/2025,06:00:00 pm,0,0.2855,13.972
9/3/2025,08:00:00 pm,0,0.2845,13.968
9/3/2025,10:00:00 pm,0,0.2843,13.965
9/4/2025,12:00:00 am,0,0.2841,13.965
9/4/2025,02:00:00 am,0,0.2845,13.964
9/4/2025,04:00:00 am,0,0.2847,13.966
9/4/2025,06:00:00 am,0,0.2854,13.967
9/4/2025,08:00:00 am,0,0.2862,13.969
9/4/2025,10:00:00 am,0,0.2854,13.970
9/4/2025,12:00:00 pm,0,0.2833,13.968
9/4/2025,02:00:00 pm,0,0.2816,13.969
9/4/2025,04:00:00 pm,0,0.2781,13.966
9/4/2025,06:00:00 pm,0,0.2758,13.962
9/4/2025,08:00:00 pm,0,0.2746,13.959
9/4/2025,10:00:00 pm,0,0.2751,13.961
9/5/2025,12:00:00 am,0,0.2752,13.961
9/5/2025,02:00:00 am,0,0.2751,13.964
9/5/2025,04:00:00 am,0,0.2743,13.966
9/5/2025,06:00:00 am,0,0.2757,13.970
9/5/2025,08:00:00 am,0,0.2780,13.973
9/5/2025,10:00:00 am,0,0.2780,13.976
9/5/2025,12:00:00 pm,0,0.2769,13.980
9/5/2025,02:00:00 pm,0,0.2760,13.979
9/5/2025,04:00:00 pm,0,0.2753,13.984
9/5/2025,06:00:00 pm,0,0.2739,13.989
9/5/2025,08:00:00 pm,0,0.2734,13.995
9/5/2025,10:00:00 pm,0,0.2737,14.000
9/6/2025,12:00:00 am,0,0.2717,14.007
9/6/2025,02:00:00 am,0,0.2726,14.017
9/6/2025,04:00:00 am,0,0.2748,14.026
9/6/2025,06:00:00 am,0,0.2753,14.036
9/6/2025,08:00:00 am,0,0.2764,14.046
9/6/2025,10:00:00 am,0,0.2763,14.056
9/6/2025,12:00:00 pm,0,0.2761,14.066
9/6/2025,02:00:00 pm,0,0.2792,14.079
9/6/2025,04:00:00 pm,0,0.3137,14.241
9/6/2025,06:00:00 pm,0,0.3248,14.150
9/6/2025,08:00:00 pm,0,0.3476,14.147
9/6/2025,10:00:00 pm,0,0.3561,14.155
9/7/2025,12:00:00 am,0,0.3560,14.164
9/7/2025,02:00:00 am,0,0.3505,14.172
9/7/2025,04:00:00 am,0,0.3449,14.179
9/7/2025,06:00:00 am,0,0.3404,14.187
9/7/2025,08:00:00 am,0,0.3369,14.193
9/7/2025,10:00:00 am,0,0.3341,14.199
9/7/2025,12:00:00 pm,0,0.3315,14.206
9/7/2025,02:00:00 pm,0,0.3283,14.207
9/7/2025,04:00:00 pm,0,0.3252,14.208
9/7/2025,06:00:00 pm,0,0.3227,14.212
9/7/2025,08:00:00 pm,0,0.3244,14.218
9/7/2025,10:00:00 pm,0,0.3246,14.217
9/8/2025,12:00:00 am,0,0.3245,14.219
9/8/2025,02:00:00 am,0,0.3232,14.220
9/8/2025,04:00:00 am,0,0.3219,14.221
9/8/2025,06:00:00 am,0,0.3210,14.222
9/8/2025,08:00:00 am,0,0.3203,14.218
9/8/2025,10:00:00 am,0,0.3188,14.217
9/8/2025,12:00:00 pm,0,0.3174,14.209
9/8/2025,02:00:00 pm,0,0.3141,14.204
9/8/2025,04:00:00 pm,0,0.3107,14.197
9/8/2025,06:00:00 pm,0,0.3089,14.185
9/8/2025,08:00:00 pm,0,0.3077,14.173
9/8/2025,10:00:00 pm,0,0.3067,14.163
9/9/2025,12:00:00 am,0,0.3055,14.153
9/9/2025,02:00:00 am,0,0.3051,14.142
9/9/2025,04:00:00 am,0,0.3050,14.134
9/9/2025,06:00:00 am,0,0.3045,14.124
9/9/2025,08:00:00 am,0,0.3045,14.112
9/9/2025,10:00:00 am,0,0.3036,14.097
9/9/2025,12:00:00 pm,0,0.3013,14.081
9/9/2025,02:00:00 pm,0,0.2980,14.062
9/9/2025,04:00:00 pm,0,0.2949,14.042
9/9/2025,06:00:00 pm,0,0.2938,14.024
9/9/2025,08:00:00 pm,0,0.2935,14.008
9/9/2025,10:00:00 pm,0,0.2933,13.990
9/10/2025,12:00:00 am,0,0.2922,13.973
9/10/2025,02:00:00 am,0,0.2912,13.964
9/10/2025,04:00:00 am,0,0.2911,13.951
9/10/2025,06:00:00 am,0,0.2917,13.940
9/10/2025,08:00:00 am,0,0.2920,13.930
9/10/2025,10:00:00 am,0,0.2919,13.920
9/10/2025,12:00:00 pm,0,0.2913,13.906
9/10/2025,02:00:00 pm,0,0.2883,13.892
9/10/2025,04:00:00 pm,0,0.2866,13.878
9/10/2025,06:00:00 pm,0,0.2855,13.862
9/10/2025,08:00:00 pm,0,0.2852,13.847
9/10/2025,10:00:00 pm,0,0.2862,13.836
9/11/2025,12:00:00 am,0,0.2850,13.824
9/11/2025,02:00:00 am,0,0.2850,13.814
9/11/2025,04:00:00 am,0,0.2861,13.805
9/11/2025,06:00:00 am,0,0.2861,13.796
9/11/2025,08:00:00 am,0,0.2866,13.784
9/11/2025,10:00:00 am,0,0.2864,13.773
9/11/2025,12:00:00 pm,0,0.2851,13.761
9/11/2025,02:00:00 pm,0,0.2841,13.746
9/11/2025,04:00:00 pm,0,0.2835,13.732
9/11/2025,06:00:00 pm,0,0.2815,13.716
9/11/2025,08:00:00 pm,0,0.2811,13.702
9/11/2025,10:00:00 pm,0,0.2802,13.686
9/12/2025,12:00:00 am,0,0.2810,13.676
9/12/2025,02:00:00 am,0,0.2805,13.667
9/12/2025,04:00:00 am,0,0.2818,13.657
9/12/2025,06:00:00 am,0,0.2823,13.649
9/12/2025,08:00:00 am,0,0.2833,13.639
9/12/2025,10:00:00 am,0,0.2835,13.631
9/12/2025,12:00:00 pm,0,0.2818,13.618
9/12/2025,02:00:00 pm,0,0.2797,13.606
9/12/2025,04:00:00 pm,0,0.2779,13.591
9/12/2025,06:00:00 pm,0,0.2769,13.576
9/12/2025,08:00:00 pm,0,0.2771,13.561
9/12/2025,10:00:00 pm,0,0.2765,13.548
9/13/2025,12:00:00 am,0,0.2768,13.535
9/13/2025,02:00:00 am,0,0.2769,13.525
9/13/2025,04:00:00 am,0,0.2770,13.513
9/13/2025,06:00:00 am,0,0.2779,13.504
9/13/2025,08:00:00 am,0,0.2780,13.490
9/13/2025,10:00:00 am,0,0.2781,13.476
9/13/2025,12:00:00 pm,0,0.2777,13.460
9/13/2025,02:00:00 pm,0,0.2761,13.445
9/13/2025,04:00:00 pm,0,0.2745,13.428
9/13/2025,06:00:00 pm,0,0.2738,13.411
9/13/2025,08:00:00 pm,0,0.2736,13.396
9/13/2025,10:00:00 pm,0,0.2738,13.381
9/14/2025,12:00:00 am,0,0.2741,13.368
9/14/2025,02:00:00 am,0,0.2746,13.357
9/14/2025,04:00:00 am,0,0.2748,13.347
9/14/2025,06:00:00 am,0,0.2754,13.336
9/14/2025,08:00:00 am,0,0.2761,13.328
9/14/2025,10:00:00 am,0,0.2758,13.319
9/14/2025,12:00:00 pm,0,0.2746,13.307
9/14/2025,02:00:00 pm,0,0.2732,13.298
9/14/2025,04:00:00 pm,0,0.2720,13.290
9/14/2025,06:00:00 pm,0,0.2712,13.280
9/14/2025,08:00:00 pm,0,0.2715,13.273
9/14/2025,10:00:00 pm,0,0.2715,13.266
9/15/2025,12:00:00 am,0,0.2718,13.261
9/15/2025,02:00:00 am,0,0.2720,13.256
9/15/2025,04:00:00 am,0,0.2728,13.255
9/15/2025,06:00:00 am,0,0.2741,13.252
9/15/2025,08:00:00 am,0,0.2748,13.249
9/15/2025,10:00:00 am,0,0.2752,13.247
