Serial_number:
2179239
Project ID:
Zealand
Location:
LL05_middle_gw
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/2/2025,02:00:00 pm,0,0.4257,8.915
6/2/2025,04:00:00 pm,0,0.4253,8.895
6/2/2025,06:00:00 pm,0,0.4182,8.871
6/2/2025,08:00:00 pm,0,0.4120,8.846
6/2/2025,10:00:00 pm,0,0.4043,8.822
6/3/2025,12:00:00 am,0,0.3985,8.800
6/3/2025,02:00:00 am,0,0.3939,8.782
6/3/2025,04:00:00 am,0,0.3912,8.773
6/3/2025,06:00:00 am,0,0.3886,8.766
6/3/2025,08:00:00 am,0,0.3855,8.767
6/3/2025,10:00:00 am,0,0.3812,8.769
6/3/2025,12:00:00 pm,0,0.3764,8.771
6/3/2025,02:00:00 pm,0,0.3721,8.775
6/3/2025,04:00:00 pm,0,0.3678,8.775
6/3/2025,06:00:00 pm,0,0.3636,8.773
6/3/2025,08:00:00 pm,0,0.3596,8.767
6/3/2025,10:00:00 pm,0,0.3558,8.759
6/4/2025,12:00:00 am,0,0.3521,8.753
6/4/2025,02:00:00 am,0,0.3504,8.751
6/4/2025,04:00:00 am,0,0.3494,8.757
6/4/2025,06:00:00 am,0,0.3480,8.768
6/4/2025,08:00:00 am,0,0.3476,8.785
6/4/2025,10:00:00 am,0,0.3456,8.806
6/4/2025,12:00:00 pm,0,0.3428,8.831
6/4/2025,02:00:00 pm,0,0.3400,8.859
6/4/2025,04:00:00 pm,0,0.3376,8.885
6/4/2025,06:00:00 pm,0,0.3344,8.912
6/4/2025,08:00:00 pm,0,0.3317,8.935
6/4/2025,10:00:00 pm,0,0.3298,8.958
6/5/2025,12:00:00 am,0,0.3285,8.985
6/5/2025,02:00:00 am,0,0.3278,9.016
6/5/2025,04:00:00 am,0,0.3269,9.056
6/5/2025,06:00:00 am,0,0.3259,9.099
6/5/2025,08:00:00 am,0,0.3250,9.151
6/5/2025,10:00:00 am,0,0.3232,9.209
6/5/2025,12:00:00 pm,0,0.3213,9.270
6/5/2025,02:00:00 pm,0,0.3200,9.338
6/5/2025,04:00:00 pm,0,0.3162,9.397
6/5/2025,06:00:00 pm,0,0.3135,9.457
6/5/2025,08:00:00 pm,0,0.3091,9.512
6/5/2025,10:00:00 pm,0,0.3108,9.565
6/6/2025,12:00:00 am,0,0.3098,9.620
6/6/2025,02:00:00 am,0,0.3089,9.680
6/6/2025,04:00:00 am,0,0.3083,9.748
6/6/2025,06:00:00 am,0,0.3072,9.828
6/6/2025,08:00:00 am,0,0.3070,9.909
6/6/2025,10:00:00 am,0,0.3061,9.999
6/6/2025,12:00:00 pm,0,0.3049,10.089
6/6/2025,02:00:00 pm,0,0.3027,10.181
6/6/2025,04:00:00 pm,0,0.3028,10.265
6/6/2025,06:00:00 pm,0,0.3296,10.345
6/6/2025,08:00:00 pm,0,0.5239,10.481
6/6/2025,10:00:00 pm,0,0.5420,10.661
6/7/2025,12:00:00 am,0,0.5172,10.789
6/7/2025,02:00:00 am,0,0.4912,10.875
6/7/2025,04:00:00 am,0,0.4677,10.949
6/7/2025,06:00:00 am,0,0.4500,11.016
6/7/2025,08:00:00 am,0,0.4398,11.079
6/7/2025,10:00:00 am,0,0.4352,11.136
6/7/2025,12:00:00 pm,0,0.4408,11.191
6/7/2025,02:00:00 pm,0,0.4607,11.242
6/7/2025,04:00:00 pm,0,0.4911,11.296
6/7/2025,06:00:00 pm,0,0.4929,11.361
6/7/2025,08:00:00 pm,0,0.4806,11.409
6/7/2025,10:00:00 pm,0,0.4677,11.442
6/8/2025,12:00:00 am,0,0.4561,11.470
6/8/2025,02:00:00 am,0,0.4452,11.487
6/8/2025,04:00:00 am,0,0.4363,11.499
6/8/2025,06:00:00 am,0,0.4279,11.510
6/8/2025,08:00:00 am,0,0.4199,11.515
6/8/2025,10:00:00 am,0,0.4130,11.517
6/8/2025,12:00:00 pm,0,0.4065,11.515
6/8/2025,02:00:00 pm,0,0.3990,11.508
6/8/2025,04:00:00 pm,0,0.3920,11.496
6/8/2025,06:00:00 pm,0,0.3849,11.485
6/8/2025,08:00:00 pm,0,0.3772,11.464
6/8/2025,10:00:00 pm,0,0.3701,11.442
6/9/2025,12:00:00 am,0,0.3642,11.421
6/9/2025,02:00:00 am,0,0.3601,11.403
6/9/2025,04:00:00 am,0,0.3556,11.386
6/9/2025,06:00:00 am,0,0.3525,11.373
6/9/2025,08:00:00 am,0,0.3490,11.366
6/9/2025,10:00:00 am,0,0.3465,11.355
6/9/2025,12:00:00 pm,0,0.3426,11.346
6/9/2025,02:00:00 pm,0,0.3398,11.340
6/9/2025,04:00:00 pm,0,0.3353,11.332
6/9/2025,06:00:00 pm,0,0.3354,11.323
6/9/2025,08:00:00 pm,0,0.3292,11.315
6/9/2025,10:00:00 pm,0,0.3286,11.304
6/10/2025,12:00:00 am,0,0.3248,11.291
6/10/2025,02:00:00 am,0,0.3230,11.279
6/10/2025,04:00:00 am,0,0.3266,11.272
6/10/2025,06:00:00 am,0,0.3319,11.260
6/10/2025,08:00:00 am,0,0.3340,11.254
6/10/2025,10:00:00 am,0,0.3355,11.244
6/10/2025,12:00:00 pm,0,0.3333,11.238
6/10/2025,02:00:00 pm,0,0.3320,11.230
6/10/2025,04:00:00 pm,0,0.3309,11.223
6/10/2025,06:00:00 pm,0,0.3279,11.215
6/10/2025,08:00:00 pm,0,0.3265,11.205
6/10/2025,10:00:00 pm,0,0.3254,11.198
6/11/2025,12:00:00 am,0,0.3230,11.192
6/11/2025,02:00:00 am,0,0.3216,11.185
6/11/2025,04:00:00 am,0,0.3198,11.181
6/11/2025,06:00:00 am,0,0.3178,11.178
6/11/2025,08:00:00 am,0,0.3147,11.178
6/11/2025,10:00:00 am,0,0.3133,11.179
6/11/2025,12:00:00 pm,0,0.3088,11.180
6/11/2025,02:00:00 pm,0,0.3072,11.181
6/11/2025,04:00:00 pm,0,0.3037,11.183
6/11/2025,06:00:00 pm,0,0.2995,11.186
6/11/2025,08:00:00 pm,0,0.2962,11.186
6/11/2025,10:00:00 pm,0,0.2953,11.191
6/12/2025,12:00:00 am,0,0.2917,11.198
6/12/2025,02:00:00 am,0,0.2899,11.205
6/12/2025,04:00:00 am,0,0.2910,11.213
6/12/2025,06:00:00 am,0,0.2896,11.224
6/12/2025,08:00:00 am,0,0.2878,11.240
6/12/2025,10:00:00 am,0,0.2873,11.262
6/12/2025,12:00:00 pm,0,0.2843,11.280
6/12/2025,02:00:00 pm,0,0.2794,11.303
6/12/2025,04:00:00 pm,0,0.2776,11.325
6/12/2025,06:00:00 pm,0,0.2739,11.347
6/12/2025,08:00:00 pm,0,0.2718,11.372
6/12/2025,10:00:00 pm,0,0.2693,11.395
6/13/2025,12:00:00 am,0,0.2683,11.419
6/13/2025,02:00:00 am,0,0.2670,11.442
6/13/2025,04:00:00 am,0,0.2665,11.467
6/13/2025,06:00:00 am,0,0.2660,11.492
6/13/2025,08:00:00 am,0,0.2649,11.521
6/13/2025,10:00:00 am,0,0.2639,11.550
6/13/2025,12:00:00 pm,0,0.2630,11.578
6/13/2025,02:00:00 pm,0,0.2625,11.607
6/13/2025,04:00:00 pm,0,0.2607,11.633
6/13/2025,06:00:00 pm,0,0.2590,11.656
6/13/2025,08:00:00 pm,0,0.2566,11.670
6/13/2025,10:00:00 pm,0,0.2551,11.675
6/14/2025,12:00:00 am,0,0.2538,11.681
6/14/2025,02:00:00 am,0,0.2539,11.684
6/14/2025,04:00:00 am,0,0.2566,11.688
6/14/2025,06:00:00 am,0,0.2608,11.699
6/14/2025,08:00:00 am,0,0.2628,11.710
6/14/2025,10:00:00 am,0,0.2634,11.717
6/14/2025,12:00:00 pm,0,0.2621,11.722
6/14/2025,02:00:00 pm,0,0.2598,11.722
6/14/2025,04:00:00 pm,0,0.2574,11.720
6/14/2025,06:00:00 pm,0,0.2537,11.715
6/14/2025,08:00:00 pm,0,0.2514,11.713
6/14/2025,10:00:00 pm,0,0.2495,11.709
6/15/2025,12:00:00 am,0,0.2480,11.714
6/15/2025,02:00:00 am,0,0.2476,11.717
6/15/2025,04:00:00 am,0,0.2469,11.718
6/15/2025,06:00:00 am,0,0.2465,11.712
6/15/2025,08:00:00 am,0,0.2459,11.708
6/15/2025,10:00:00 am,0,0.2446,11.702
6/15/2025,12:00:00 pm,0,0.2433,11.695
6/15/2025,02:00:00 pm,0,0.2417,11.685
6/15/2025,04:00:00 pm,0,0.2392,11.676
6/15/2025,06:00:00 pm,0,0.2373,11.678
6/15/2025,08:00:00 pm,0,0.2355,11.688
6/15/2025,10:00:00 pm,0,0.2345,11.702
6/16/2025,12:00:00 am,0,0.2336,11.717
6/16/2025,02:00:00 am,0,0.2333,11.721
6/16/2025,04:00:00 am,0,0.2337,11.716
6/16/2025,06:00:00 am,0,0.2338,11.706
6/16/2025,08:00:00 am,0,0.2332,11.695
6/16/2025,10:00:00 am,0,0.2324,11.685
6/16/2025,12:00:00 pm,0,0.2320,11.676
6/16/2025,02:00:00 pm,0,0.2308,11.664
6/16/2025,04:00:00 pm,0,0.2294,11.660
6/16/2025,06:00:00 pm,0,0.2262,11.660
6/16/2025,08:00:00 pm,0,0.2237,11.665
6/16/2025,10:00:00 pm,0,0.2215,11.669
6/17/2025,12:00:00 am,0,0.2209,11.675
6/17/2025,02:00:00 am,0,0.2204,11.676
6/17/2025,04:00:00 am,0,0.2203,11.675
6/17/2025,06:00:00 am,0,0.2208,11.669
6/17/2025,08:00:00 am,0,0.2203,11.662
6/17/2025,10:00:00 am,0,0.2203,11.657
6/17/2025,12:00:00 pm,0,0.2202,11.650
6/17/2025,02:00:00 pm,0,0.2192,11.647
6/17/2025,04:00:00 pm,0,0.2199,11.646
6/17/2025,06:00:00 pm,0,0.2220,11.646
6/17/2025,08:00:00 pm,0,0.2311,11.649
6/17/2025,10:00:00 pm,0,0.2396,11.649
